trade_date,name,open,high,low,close,change,change_pct,fetched_at
2003-09-17,東証グロース市場250指数,1005.69,1012.09,1001.29,1003.77,,,2026-08-15T14:30:42+09:00
2003-09-18,東証グロース市場250指数,1006.64,1022.81,1003.97,1022.81,,,2026-08-15T14:30:42+09:00
2003-09-19,東証グロース市場250指数,1024.89,1036.77,1019.61,1031.42,,,2026-08-15T14:30:42+09:00
2003-09-22,東証グロース市場250指数,1033.57,1043.72,1018.85,1028.76,,,2026-08-15T14:30:42+09:00
2003-09-24,東証グロース市場250指数,1029.25,1035.45,1004.00,1008.88,,,2026-08-15T14:30:42+09:00
2003-09-25,東証グロース市場250指数,1004.44,1006.01,989.6,997.11,,,2026-08-15T14:30:42+09:00
2003-09-26,東証グロース市場250指数,989.23,1018.89,984.42,1016.24,,,2026-08-15T14:30:42+09:00
2003-09-29,東証グロース市場250指数,1013.05,1015.10,993.39,1002.57,,,2026-08-15T14:30:42+09:00
2003-09-30,東証グロース市場250指数,1009.74,1028.77,1006.93,1028.77,,,2026-08-15T14:30:42+09:00
2003-10-01,東証グロース市場250指数,1027.64,1068.43,1023.77,1068.43,,,2026-08-15T14:30:42+09:00
2003-10-02,東証グロース市場250指数,1073.04,1116.37,1073.04,1115.80,,,2026-08-15T14:30:42+09:00
2003-10-03,東証グロース市場250指数,1117.75,1119.89,1094.66,1109.35,,,2026-08-15T14:30:42+09:00
2003-10-06,東証グロース市場250指数,1119.00,1150.48,1113.61,1148.92,,,2026-08-15T14:30:42+09:00
2003-10-07,東証グロース市場250指数,1155.20,1183.12,1150.04,1182.07,,,2026-08-15T14:30:42+09:00
2003-10-08,東証グロース市場250指数,1185.73,1241.74,1178.39,1216.27,,,2026-08-15T14:30:42+09:00
2003-10-09,東証グロース市場250指数,1208.83,1225.46,1190.56,1221.72,,,2026-08-15T14:30:42+09:00
2003-10-10,東証グロース市場250指数,1234.12,1285.99,1234.12,1283.89,,,2026-08-15T14:30:42+09:00
2003-10-14,東証グロース市場250指数,1301.23,1390.65,1301.04,1390.65,,,2026-08-15T14:30:42+09:00
2003-10-15,東証グロース市場250指数,1405.35,1454.31,1400.38,1448.09,,,2026-08-15T14:30:42+09:00
2003-10-16,東証グロース市場250指数,1447.86,1497.76,1438.80,1486.07,,,2026-08-15T14:30:42+09:00
2003-10-17,東証グロース市場250指数,1487.24,1540.08,1487.24,1521.65,,,2026-08-15T14:30:42+09:00
2003-10-20,東証グロース市場250指数,1518.20,1547.64,1470.26,1473.90,,,2026-08-15T14:30:42+09:00
2003-10-21,東証グロース市場250指数,1467.67,1473.44,1344.87,1349.04,,,2026-08-15T14:30:42+09:00
2003-10-22,東証グロース市場250指数,1349.92,1362.20,1293.62,1322.55,,,2026-08-15T14:30:42+09:00
2003-10-23,東証グロース市場250指数,1306.03,1306.03,1199.81,1200.57,,,2026-08-15T14:30:42+09:00
2003-10-24,東証グロース市場250指数,1213.18,1278.31,1212.12,1250.03,,,2026-08-15T14:30:42+09:00
2003-10-27,東証グロース市場250指数,1262.21,1321.96,1262.21,1307.98,,,2026-08-15T14:30:42+09:00
2003-10-28,東証グロース市場250指数,1321.82,1383.34,1321.82,1333.76,,,2026-08-15T14:30:42+09:00
2003-10-29,東証グロース市場250指数,1350.45,1379.14,1349.91,1375.69,,,2026-08-15T14:30:42+09:00
2003-10-30,東証グロース市場250指数,1365.95,1365.95,1327.99,1348.96,,,2026-08-15T14:30:42+09:00
2003-10-31,東証グロース市場250指数,1347.38,1347.38,1313.92,1340.92,,,2026-08-15T14:30:42+09:00
2003-11-04,東証グロース市場250指数,1355.63,1372.47,1348.26,1358.58,,,2026-08-15T14:30:42+09:00
2003-11-05,東証グロース市場250指数,1350.56,1350.56,1329.12,1347.88,,,2026-08-15T14:30:42+09:00
2003-11-06,東証グロース市場250指数,1344.13,1346.68,1303.16,1308.40,,,2026-08-15T14:30:42+09:00
2003-11-07,東証グロース市場250指数,1303.57,1319.92,1293.01,1319.92,,,2026-08-15T14:30:42+09:00
2003-11-10,東証グロース市場250指数,1319.47,1319.47,1281.68,1281.68,,,2026-08-15T14:30:42+09:00
2003-11-11,東証グロース市場250指数,1264.80,1266.29,1154.82,1183.69,,,2026-08-15T14:30:42+09:00
2003-11-12,東証グロース市場250指数,1192.04,1220.95,1186.46,1208.80,,,2026-08-15T14:30:42+09:00
2003-11-13,東証グロース市場250指数,1225.26,1265.42,1225.26,1246.50,,,2026-08-15T14:30:42+09:00
2003-11-14,東証グロース市場250指数,1246.48,1250.51,1213.31,1216.30,,,2026-08-15T14:30:42+09:00
2003-11-17,東証グロース市場250指数,1199.39,1199.39,1093.34,1096.07,,,2026-08-15T14:30:42+09:00
2003-11-18,東証グロース市場250指数,1086.93,1129.82,1054.57,1129.82,,,2026-08-15T14:30:42+09:00
2003-11-19,東証グロース市場250指数,1121.57,1121.57,1090.49,1104.33,,,2026-08-15T14:30:42+09:00
2003-11-20,東証グロース市場250指数,1118.47,1140.95,1112.59,1127.81,,,2026-08-15T14:30:42+09:00
2003-11-21,東証グロース市場250指数,1119.90,1145.03,1113.25,1138.82,,,2026-08-15T14:30:42+09:00
2003-11-25,東証グロース市場250指数,1151.39,1180.05,1151.39,1159.03,,,2026-08-15T14:30:42+09:00
2003-11-26,東証グロース市場250指数,1166.64,1234.81,1166.64,1234.81,,,2026-08-15T14:30:42+09:00
2003-11-27,東証グロース市場250指数,1249.03,1292.78,1249.03,1284.20,,,2026-08-15T14:30:42+09:00
2003-11-28,東証グロース市場250指数,1286.25,1306.30,1275.53,1291.61,,,2026-08-15T14:30:42+09:00
2003-12-01,東証グロース市場250指数,1274.17,1306.92,1245.16,1297.51,,,2026-08-15T14:30:42+09:00
2003-12-02,東証グロース市場250指数,1306.82,1331.07,1293.74,1295.55,,,2026-08-15T14:30:42+09:00
2003-12-03,東証グロース市場250指数,1297.34,1305.42,1291.20,1302.96,,,2026-08-15T14:30:42+09:00
2003-12-04,東証グロース市場250指数,1303.49,1306.52,1269.74,1270.72,,,2026-08-15T14:30:42+09:00
2003-12-05,東証グロース市場250指数,1271.83,1271.83,1247.14,1259.54,,,2026-08-15T14:30:42+09:00
2003-12-08,東証グロース市場250指数,1249.24,1249.24,1201.78,1205.05,,,2026-08-15T14:30:42+09:00
2003-12-09,東証グロース市場250指数,1217.91,1228.92,1165.40,1172.97,,,2026-08-15T14:30:42+09:00
2003-12-10,東証グロース市場250指数,1163.45,1165.27,1132.95,1151.00,,,2026-08-15T14:30:42+09:00
2003-12-11,東証グロース市場250指数,1141.65,1147.85,1108.42,1121.42,,,2026-08-15T14:30:42+09:00
2003-12-12,東証グロース市場250指数,1133.05,1140.36,1100.05,1106.64,,,2026-08-15T14:30:42+09:00
2003-12-15,東証グロース市場250指数,1116.72,1148.03,1107.63,1148.03,,,2026-08-15T14:30:42+09:00
2003-12-16,東証グロース市場250指数,1132.80,1132.80,1102.44,1124.60,,,2026-08-15T14:30:42+09:00
2003-12-17,東証グロース市場250指数,1132.44,1145.53,1110.70,1116.46,,,2026-08-15T14:30:42+09:00
2003-12-18,東証グロース市場250指数,1118.18,1119.52,1097.43,1100.08,,,2026-08-15T14:30:42+09:00
2003-12-19,東証グロース市場250指数,1109.12,1112.56,1087.59,1088.88,,,2026-08-15T14:30:42+09:00
2003-12-22,東証グロース市場250指数,1082.99,1090.76,1070.37,1077.69,,,2026-08-15T14:30:42+09:00
2003-12-24,東証グロース市場250指数,1079.03,1110.88,1078.38,1107.39,,,2026-08-15T14:30:42+09:00
2003-12-25,東証グロース市場250指数,1110.64,1185.36,1109.12,1178.11,,,2026-08-15T14:30:42+09:00
2003-12-26,東証グロース市場250指数,1189.05,1242.38,1188.12,1236.75,,,2026-08-15T14:30:42+09:00
2003-12-29,東証グロース市場250指数,1247.59,1286.34,1245.32,1284.72,,,2026-08-15T14:30:42+09:00
2003-12-30,東証グロース市場250指数,1291.67,1324.12,1291.67,1319.32,,,2026-08-15T14:30:42+09:00
2004-01-05,東証グロース市場250指数,1329.57,1358.24,1329.57,1358.24,,,2026-08-15T14:30:42+09:00
2004-01-06,東証グロース市場250指数,1364.03,1376.25,1350.93,1356.95,,,2026-08-15T14:30:42+09:00
2004-01-07,東証グロース市場250指数,1358.72,1441.69,1356.36,1441.23,,,2026-08-15T14:30:42+09:00
2004-01-08,東証グロース市場250指数,1456.80,1518.28,1453.78,1504.05,,,2026-08-15T14:30:42+09:00
2004-01-09,東証グロース市場250指数,1517.13,1549.53,1517.13,1540.23,,,2026-08-15T14:30:42+09:00
2004-01-13,東証グロース市場250指数,1546.42,1577.78,1545.05,1567.12,,,2026-08-15T14:30:42+09:00
2004-01-14,東証グロース市場250指数,1565.92,1618.21,1560.37,1615.44,,,2026-08-15T14:30:42+09:00
2004-01-15,東証グロース市場250指数,1628.26,1700.94,1624.60,1692.58,,,2026-08-15T14:30:42+09:00
2004-01-16,東証グロース市場250指数,1699.37,1779.85,1697.15,1779.85,,,2026-08-15T14:30:42+09:00
2004-01-19,東証グロース市場250指数,1788.67,1869.48,1787.01,1866.30,,,2026-08-15T14:30:42+09:00
2004-01-20,東証グロース市場250指数,1880.33,1974.07,1879.00,1961.93,,,2026-08-15T14:30:42+09:00
2004-01-21,東証グロース市場250指数,1964.04,1966.28,1901.45,1907.89,,,2026-08-15T14:30:42+09:00
2004-01-22,東証グロース市場250指数,1904.64,1906.19,1814.00,1815.93,,,2026-08-15T14:30:42+09:00
2004-01-23,東証グロース市場250指数,1804.09,1804.09,1718.01,1736.94,,,2026-08-15T14:30:42+09:00
2004-01-26,東証グロース市場250指数,1728.07,1728.14,1638.52,1647.63,,,2026-08-15T14:30:42+09:00
2004-01-27,東証グロース市場250指数,1642.47,1676.51,1635.22,1671.59,,,2026-08-15T14:30:42+09:00
2004-01-28,東証グロース市場250指数,1663.69,1665.47,1619.62,1621.19,,,2026-08-15T14:30:42+09:00
2004-01-29,東証グロース市場250指数,1609.61,1609.61,1558.64,1566.31,,,2026-08-15T14:30:42+09:00
2004-01-30,東証グロース市場250指数,1560.55,1565.18,1533.15,1565.18,,,2026-08-15T14:30:42+09:00
2004-02-02,東証グロース市場250指数,1568.74,1615.63,1567.46,1612.14,,,2026-08-15T14:30:42+09:00
2004-02-03,東証グロース市場250指数,1617.65,1627.22,1587.19,1602.64,,,2026-08-15T14:30:42+09:00
2004-02-04,東証グロース市場250指数,1598.53,1601.59,1535.92,1538.52,,,2026-08-15T14:30:42+09:00
2004-02-05,東証グロース市場250指数,1527.87,1572.68,1520.38,1560.10,,,2026-08-15T14:30:42+09:00
2004-02-06,東証グロース市場250指数,1571.12,1605.87,1571.12,1596.60,,,2026-08-15T14:30:42+09:00
2004-02-09,東証グロース市場250指数,1604.39,1609.06,1552.61,1560.57,,,2026-08-15T14:30:42+09:00
2004-02-10,東証グロース市場250指数,1553.67,1553.67,1506.45,1512.42,,,2026-08-15T14:30:42+09:00
2004-02-12,東証グロース市場250指数,1513.80,1514.37,1480.44,1482.82,,,2026-08-15T14:30:42+09:00
2004-02-13,東証グロース市場250指数,1476.91,1490.99,1436.26,1489.54,,,2026-08-15T14:30:42+09:00
2004-02-16,東証グロース市場250指数,1488.35,1490.19,1462.59,1464.17,,,2026-08-15T14:30:42+09:00
2004-02-17,東証グロース市場250指数,1467.61,1467.91,1448.21,1449.16,,,2026-08-15T14:30:42+09:00
2004-02-18,東証グロース市場250指数,1444.12,1449.68,1425.27,1426.37,,,2026-08-15T14:30:42+09:00
2004-02-19,東証グロース市場250指数,1419.55,1419.86,1360.93,1362.26,,,2026-08-15T14:30:42+09:00
2004-02-20,東証グロース市場250指数,1357.35,1357.35,1326.69,1338.98,,,2026-08-15T14:30:42+09:00
2004-02-23,東証グロース市場250指数,1341.45,1353.02,1330.43,1353.02,,,2026-08-15T14:30:42+09:00
2004-02-24,東証グロース市場250指数,1350.60,1350.99,1315.72,1320.57,,,2026-08-15T14:30:42+09:00
2004-02-25,東証グロース市場250指数,1310.48,1312.25,1290.89,1312.25,,,2026-08-15T14:30:42+09:00
2004-02-26,東証グロース市場250指数,1316.59,1371.30,1316.59,1371.30,,,2026-08-15T14:30:42+09:00
2004-02-27,東証グロース市場250指数,1376.76,1406.86,1375.28,1403.97,,,2026-08-15T14:30:42+09:00
2004-03-01,東証グロース市場250指数,1409.27,1415.06,1400.70,1406.50,,,2026-08-15T14:30:42+09:00
2004-03-02,東証グロース市場250指数,1416.71,1422.10,1394.21,1400.55,,,2026-08-15T14:30:42+09:00
2004-03-03,東証グロース市場250指数,1400.45,1409.27,1397.95,1407.97,,,2026-08-15T14:30:42+09:00
2004-03-04,東証グロース市場250指数,1410.92,1417.34,1405.15,1412.44,,,2026-08-15T14:30:42+09:00
2004-03-05,東証グロース市場250指数,1416.16,1417.59,1399.03,1412.70,,,2026-08-15T14:30:42+09:00
2004-03-08,東証グロース市場250指数,1417.12,1418.92,1401.98,1411.09,,,2026-08-15T14:30:42+09:00
2004-03-09,東証グロース市場250指数,1410.58,1444.91,1400.42,1444.29,,,2026-08-15T14:30:42+09:00
2004-03-10,東証グロース市場250指数,1451.15,1477.58,1440.83,1476.37,,,2026-08-15T14:30:42+09:00
2004-03-11,東証グロース市場250指数,1466.57,1500.57,1455.44,1496.14,,,2026-08-15T14:30:42+09:00
2004-03-12,東証グロース市場250指数,1487.79,1508.18,1479.51,1496.32,,,2026-08-15T14:30:42+09:00
2004-03-15,東証グロース市場250指数,1507.36,1517.07,1504.40,1517.07,,,2026-08-15T14:30:42+09:00
2004-03-16,東証グロース市場250指数,1515.42,1558.32,1514.53,1528.73,,,2026-08-15T14:30:42+09:00
2004-03-17,東証グロース市場250指数,1539.20,1559.21,1539.20,1559.21,,,2026-08-15T14:30:42+09:00
2004-03-18,東証グロース市場250指数,1570.81,1591.24,1547.38,1548.60,,,2026-08-15T14:30:42+09:00
2004-03-19,東証グロース市場250指数,1543.10,1566.79,1537.65,1566.79,,,2026-08-15T14:30:42+09:00
2004-03-22,東証グロース市場250指数,1574.37,1615.36,1571.67,1612.43,,,2026-08-15T14:30:42+09:00
2004-03-23,東証グロース市場250指数,1608.59,1648.09,1607.29,1648.09,,,2026-08-15T14:30:42+09:00
2004-03-24,東証グロース市場250指数,1659.71,1699.10,1658.52,1689.07,,,2026-08-15T14:30:42+09:00
2004-03-25,東証グロース市場250指数,1689.77,1690.81,1641.90,1645.19,,,2026-08-15T14:30:42+09:00
2004-03-26,東証グロース市場250指数,1658.12,1689.26,1658.12,1684.97,,,2026-08-15T14:30:42+09:00
2004-03-29,東証グロース市場250指数,1701.14,1770.23,1701.14,1765.21,,,2026-08-15T14:30:42+09:00
2004-03-30,東証グロース市場250指数,1783.75,1839.27,1783.75,1839.27,,,2026-08-15T14:30:42+09:00
2004-03-31,東証グロース市場250指数,1854.09,1958.91,1853.61,1953.72,,,2026-08-15T14:30:42+09:00
2004-04-01,TOPIX,1182.05,1185.34,1171.62,1175.01,,,2026-08-12T20:50:03+09:00
2004-04-01,東証グロース市場250指数,1967.82,2032.62,1944.88,2011.36,,,2026-08-15T14:30:42+09:00
2004-04-02,TOPIX,1178.35,1187.5,1176.65,1184.2,,,2026-08-12T20:50:03+09:00
2004-04-02,東証グロース市場250指数,2023.75,2083.93,1993.32,2079.22,,,2026-08-15T14:30:42+09:00
