code,market_cap_million,as_of,close,finance_date,net_profit,eps,estimated_shares,source
1332,386809.804,2026-08-31,1275.5,2026-08-06,7439000000,24.53,303261312.678,NP/EPS*close
1333,195388.028,2026-08-31,1296.5,2026-08-04,3424000000,22.72,150704225.352,NP/EPS*close
1414,259041.581,2026-08-31,1276.5,2026-08-10,15439000000,76.08,202931125.131,NP/EPS*close
1417,320401,2026-08-31,3625,2026-08-07,1857000000,21.01,88386482.627,NP/EPS*close
1605,4600683.422,2026-08-31,3957,2026-08-07,263147000000,226.33,1162669553.307,NP/EPS*close
1719,301343.095,2026-08-31,1921,2026-08-05,4237000000,27.01,156867826.731,NP/EPS*close
1721,631250.426,2026-08-31,5463,2026-08-14,8538000000,73.89,115550142.103,NP/EPS*close
1801,2048972.313,2026-08-31,12570,2026-08-06,30909000000,189.62,163004957.283,NP/EPS*close
1802,2056968.832,2026-08-31,2992.5,2026-08-07,39091000000,56.87,687374714.261,NP/EPS*close
1803,1621850,2026-08-31,2388,2026-07-30,55257000000,81.36,679166666.667,NP/EPS*close
1808,767380.595,2026-08-31,2898,2026-08-06,21287000000,80.39,264796616.495,NP/EPS*close
1812,2247558.78,2026-08-31,4838,2026-08-05,30926000000,66.57,464563617.245,NP/EPS*close
1820,220034.151,2026-08-31,5573,2026-08-07,4651000000,117.8,39482173.175,NP/EPS*close
1860,454006.84,2026-08-31,1533.5,2026-08-07,11795000000,39.84,296059236.948,NP/EPS*close
1878,1084861.585,2026-08-31,3330,2026-07-31,23678000000,72.68,325784259.769,NP/EPS*close
1893,396002.907,2026-08-31,1455.5,2026-08-07,7112000000,26.14,272073450.65,NP/EPS*close
1911,824943.387,2026-08-31,1345.5,2026-08-07,26885000000,43.85,613112884.835,NP/EPS*close
1925,2898443.535,2026-08-31,4680,2026-08-06,83194000000,134.33,619325541.577,NP/EPS*close
1928,2233883.538,2026-08-31,3446,2026-06-04,58479000000,90.21,648254073.828,NP/EPS*close
1942,1092812.604,2026-08-31,5491,2026-07-31,13185000000,66.25,199018867.925,NP/EPS*close
1944,1329565.504,2026-08-31,7012,2026-07-29,9894000000,52.18,189612878.498,NP/EPS*close
1951,538240.858,2026-08-31,2642.5,2026-08-07,6907000000,33.91,203686228.251,NP/EPS*close
1959,576183.828,2026-08-31,8146,2026-07-30,8415000000,118.97,70732117.341,NP/EPS*close
1963,569965.865,2026-08-31,2356.5,2026-08-07,11617000000,48.03,241869664.793,NP/EPS*close
1969,565688.871,2026-08-31,4323,2026-08-05,6408000000,48.97,130855625.893,NP/EPS*close
2002,572944.553,2026-08-31,2047.5,2026-08-07,9349000000,33.41,279826399.282,NP/EPS*close
2127,217418.748,2026-08-31,685.4,2026-07-30,2027000000,6.39,317214397.496,NP/EPS*close
2181,662748.736,2026-08-31,301.2,2026-08-07,12190000000,5.54,2200361010.83,NP/EPS*close
2201,213075.438,2026-08-31,2537.5,2026-08-06,4458000000,53.09,83970615.935,NP/EPS*close
2206,324072.579,2026-08-31,5169,2026-08-05,4973000000,79.32,62695410.993,NP/EPS*close
2212,729635.041,2026-08-31,3702,2026-07-31,24197000000,122.77,197092123.483,NP/EPS*close
2222,428716.054,2026-08-31,2777,2026-08-03,2731000000,17.69,154381006.218,NP/EPS*close
