trade_date,group,key,sub,value,unit,fetched_at
2026-08-10,PBR,PBR,加重平均,1.89,倍,2026-08-11T19:00:35+09:00
2026-08-10,PBR,PBR,指数ベース,2.77,倍,2026-08-11T19:00:35+09:00
2026-08-10,PER,PER,加重平均,17.32,倍,2026-08-11T19:00:35+09:00
2026-08-10,PER,PER,指数ベース,22.35,倍,2026-08-11T19:00:35+09:00
2026-08-10,ウェート上位,1. 6857 アドテスト,技術/電気機器,12.35,%,2026-08-11T19:00:35+09:00
2026-08-10,ウェート上位,10. 285A キオクシア,技術/電気機器,1.68,%,2026-08-11T19:00:35+09:00
2026-08-10,ウェート上位,2. 9983 ファストリ,消費/小売業,9.46,%,2026-08-11T19:00:35+09:00
2026-08-10,ウェート上位,3. 8035 東エレク,技術/電気機器,8.52,%,2026-08-11T19:00:35+09:00
2026-08-10,ウェート上位,4. 9984 ＳＢＧ,技術/通信,6.59,%,2026-08-11T19:00:35+09:00
2026-08-10,ウェート上位,5. 6098 リクルート,消費/サービス,2.43,%,2026-08-11T19:00:35+09:00
2026-08-10,ウェート上位,6. 6762 ＴＤＫ,技術/電気機器,2.29,%,2026-08-11T19:00:35+09:00
2026-08-10,ウェート上位,7. 4062 イビデン,技術/電気機器,1.99,%,2026-08-11T19:00:35+09:00
2026-08-10,ウェート上位,8. 9433 ＫＤＤＩ,技術/通信,1.7,%,2026-08-11T19:00:35+09:00
2026-08-10,ウェート上位,9. 5803 フジクラ,素材/非鉄・金属,1.68,%,2026-08-11T19:00:35+09:00
2026-08-10,セクター別ウェート,技術,,55.56,%,2026-08-11T19:00:35+09:00
2026-08-10,セクター別ウェート,消費,,20.78,%,2026-08-11T19:00:35+09:00
2026-08-10,セクター別ウェート,素材,,12.47,%,2026-08-11T19:00:35+09:00
2026-08-10,セクター別ウェート,資本財・その他,,7.05,%,2026-08-11T19:00:35+09:00
2026-08-10,セクター別ウェート,運輸・公共,,1.23,%,2026-08-11T19:00:35+09:00
2026-08-10,セクター別ウェート,金融,,2.91,%,2026-08-11T19:00:35+09:00
2026-08-10,セクター別寄与度,技術,,962.48,円,2026-08-11T19:00:35+09:00
2026-08-10,セクター別寄与度,消費,,295.97,円,2026-08-11T19:00:35+09:00
2026-08-10,セクター別寄与度,素材,,130.98,円,2026-08-11T19:00:35+09:00
2026-08-10,セクター別寄与度,資本財・その他,,0.47,円,2026-08-11T19:00:35+09:00
2026-08-10,セクター別寄与度,運輸・公共,,2.91,円,2026-08-11T19:00:35+09:00
2026-08-10,セクター別寄与度,金融,,-29.29,円,2026-08-11T19:00:35+09:00
2026-08-10,上昇確率,上昇確率,,49.15,%,2026-08-11T19:00:35+09:00
2026-08-10,上昇確率,分,,0.0,回,2026-08-11T19:00:35+09:00
2026-08-10,上昇確率,勝,,29.0,回,2026-08-11T19:00:35+09:00
2026-08-10,上昇確率,負,,30.0,回,2026-08-11T19:00:35+09:00
2026-08-10,基本,除数,,29.83110217,,2026-08-11T19:00:35+09:00
2026-08-10,規模,売買代金合計,,7.31,兆円,2026-08-11T19:00:35+09:00
2026-08-10,規模,売買代金合計,対市場占有率,79.62,%,2026-08-11T19:00:35+09:00
2026-08-10,規模,時価総額合計,,1049.08,兆円,2026-08-11T19:00:35+09:00
2026-08-10,規模,時価総額合計,対市場占有率,77.0,%,2026-08-11T19:00:35+09:00
2026-08-10,配当利回り,配当利回り,単純平均,1.62,%,2026-08-11T19:00:35+09:00
2026-08-10,配当利回り,配当利回り,指数ベース,1.37,%,2026-08-11T19:00:35+09:00
2026-08-10,騰落銘柄数,上昇,,121.0,銘柄,2026-08-11T19:00:35+09:00
2026-08-10,騰落銘柄数,下落,,102.0,銘柄,2026-08-11T19:00:35+09:00
2026-08-10,騰落銘柄数,変わらず,,2.0,銘柄,2026-08-11T19:00:35+09:00
2026-08-12,PBR,PBR,加重平均,1.91,倍,2026-08-12T19:05:19+09:00
2026-08-12,PBR,PBR,指数ベース,2.8,倍,2026-08-12T19:05:19+09:00
2026-08-12,PER,PER,加重平均,17.48,倍,2026-08-12T19:05:19+09:00
2026-08-12,PER,PER,指数ベース,22.51,倍,2026-08-12T19:05:19+09:00
2026-08-12,ウェート上位,1. 6857 アドテスト,技術/電気機器,12.35,%,2026-08-12T19:05:19+09:00
2026-08-12,ウェート上位,10. 9433 ＫＤＤＩ,技術/通信,1.69,%,2026-08-12T19:05:19+09:00
2026-08-12,ウェート上位,2. 9983 ファストリ,消費/小売業,9.3,%,2026-08-12T19:05:19+09:00
2026-08-12,ウェート上位,3. 8035 東エレク,技術/電気機器,8.67,%,2026-08-12T19:05:19+09:00
2026-08-12,ウェート上位,4. 9984 ＳＢＧ,技術/通信,6.58,%,2026-08-12T19:05:19+09:00
2026-08-12,ウェート上位,5. 6098 リクルート,消費/サービス,2.48,%,2026-08-12T19:05:19+09:00
