trade_date,category,name,symbol,source,open,high,low,close,volume,currency,exchange,fetched_at
2026-07-10,個別株,SKハイニクス,000660.KS,yahoo,2296000.0,2305000.0,2166000.0,2180000.0,4827239,KRW,KSC,2026-08-10T22:49:08+09:00
2026-07-10,個別株,NAURA,002371.SZ,yahoo,886.4600219726562,905.0,800.989990234375,801.0,19385845,CNY,SHZ,2026-08-10T22:49:08+09:00
2026-07-10,個別株,サムスン電子,005930.KS,yahoo,291000.0,298000.0,282000.0,285000.0,20088811,KRW,KSC,2026-08-10T22:49:08+09:00
2026-07-10,個別株,テンセント,0700.HK,yahoo,472.79998779296875,473.6000061035156,458.79998779296875,460.20001220703125,40440298,HKD,HKG,2026-08-10T22:49:08+09:00
2026-07-10,個別株,SMIC,0981.HK,yahoo,84.94999694824219,87.5999984741211,78.75,79.6500015258789,168361707,HKD,HKG,2026-08-10T22:49:08+09:00
2026-07-10,個別株,BYD,1211.HK,yahoo,83.5999984741211,86.44999694824219,81.44999694824219,84.9000015258789,23565217,HKD,HKG,2026-08-10T22:49:08+09:00
2026-07-10,個別株,シャオミ,1810.HK,yahoo,25.219999313354492,26.299999237060547,24.5,25.84000015258789,254498794,HKD,HKG,2026-08-10T22:49:08+09:00
2026-07-10,個別株,TSMC,2330.TW,yahoo,2415.0,2415.0,2415.0,2415.0,0,TWD,TAI,2026-08-10T22:49:08+09:00
2026-07-10,海外指数,深セン成分指数,399001.SZ,yahoo,15480.41015625,15581.9404296875,15046.669921875,15046.669921875,3448200,CNY,SHZ,2026-08-10T22:49:08+09:00
2026-07-10,個別株,アリババ,9988.HK,yahoo,110.0,113.0,109.0,110.19999694824219,103843838,HKD,HKG,2026-08-10T22:49:08+09:00
2026-07-10,個別株,アップル,AAPL,yahoo,314.7200012207031,316.9100036621094,312.1700134277344,315.32000732421875,34132300,USD,NMS,2026-08-10T22:49:08+09:00
2026-07-10,個別株,AMD,AMD,yahoo,544.010009765625,560.25,540.0499877929688,557.8900146484375,20704500,USD,NMS,2026-08-10T22:49:08+09:00
2026-07-10,個別株,アマゾン,AMZN,yahoo,249.5500030517578,251.02999877929688,244.41000366210938,245.33999633789062,31654000,USD,NMS,2026-08-10T22:49:08+09:00
2026-07-10,ETF,アークETF,ARKK,yahoo,82.58499908447266,82.72000122070312,79.37000274658203,80.24500274658203,5394300,USD,BTS,2026-08-10T22:49:08+09:00
2026-07-10,個別株,アーム,ARM,yahoo,322.70001220703125,328.281005859375,317.8800048828125,323.3900146484375,2770900,USD,NMS,2026-08-10T22:49:08+09:00
2026-07-10,個別株,ASML,ASML.AS,yahoo,1567.0,1578.4000244140625,1546.5999755859375,1569.0,500202,EUR,AMS,2026-08-10T22:49:08+09:00
2026-07-10,為替,豪ドル/円,AUDJPY=X,yahoo,112.6989974975586,112.6989974975586,112.18399810791016,112.72200012207031,0,JPY,CCY,2026-08-10T22:49:08+09:00
2026-07-10,個別株,ブロードコム,AVGO,yahoo,398.5,402.44000244140625,395.70001220703125,399.9700012207031,14595900,USD,NMS,2026-08-10T22:49:08+09:00
2026-07-10,個別株,BASF,BAS.DE,yahoo,47.709999084472656,48.084999084472656,47.28499984741211,47.54999923706055,1214647,EUR,GER,2026-08-10T22:49:08+09:00
2026-07-10,個別株,BNPパリバ,BNP.PA,yahoo,99.86000061035156,100.83999633789062,99.56999969482422,100.69999694824219,1237889,EUR,PAR,2026-08-10T22:49:08+09:00
2026-07-10,個別株,バークシャー・ハサウェイ,BRK-B,yahoo,496.1499938964844,497.29998779296875,490.70001220703125,493.7099914550781,2736900,USD,NYQ,2026-08-10T22:49:08+09:00
2026-07-10,為替,ブラジルレアル/円,BRLJPY=X,yahoo,31.604000091552734,31.655193328857422,31.277212142944336,31.608999252319336,0,JPY,CCY,2026-08-11T07:30:36+09:00
2026-07-10,暗号資産,ビットコイン,BTC-USD,yahoo,63194.359375,64658.96875,62902.0625,64127.140625,27450201269,USD,CCC,2026-08-11T07:30:36+09:00
2026-07-10,為替,スイスフラン/円,CHFJPY=X,yahoo,201.20799255371094,201.3168182373047,199.99400329589844,201.27499389648438,0,JPY,CCY,2026-08-11T07:30:36+09:00
2026-07-10,為替,中国元/円,CNYJPY=X,yahoo,23.8973445892334,23.907869338989258,23.743228912353516,23.900068283081055,0,JPY,CCY,2026-08-10T22:49:08+09:00
2026-07-10,暗号資産,イーサリアム,ETH-USD,yahoo,1744.47314453125,1809.75830078125,1736.72314453125,1795.6932373046875,9431692646,USD,CCC,2026-08-11T07:30:36+09:00
2026-07-10,為替,ユーロ/円,EURJPY=X,yahoo,185.593994140625,185.66799926757812,184.46800231933594,185.62899780273438,0,JPY,CCY,2026-08-10T22:49:08+09:00
2026-07-10,海外指数,イタリア40,FTSEMIB.MI,yahoo,52433.0,52818.0,52399.0,52614.0,223875400,EUR,MIL,2026-08-10T22:49:08+09:00
2026-07-10,為替,英ポンド/円,GBPJPY=X,yahoo,217.68800354003906,217.79200744628906,216.4600067138672,217.7779998779297,0,JPY,CCY,2026-08-10T22:49:08+09:00
2026-07-10,商品,金,GC=F,yahoo,4122.2998046875,4125.7998046875,4090.60009765625,4104.10009765625,389,USD,CMX,2026-08-10T22:49:08+09:00
2026-07-10,個別株,アルファベット,GOOGL,yahoo,357.5299987792969,357.82000732421875,352.75,357.17999267578125,18146100,USD,NMS,2026-08-10T22:49:08+09:00
2026-07-10,個別株,ゴールドマン・サックス,GS,yahoo,1063.2099609375,1067.1700439453125,1048.0,1055.1800537109375,1110600,USD,NYQ,2026-08-10T22:49:08+09:00
2026-07-10,為替,香港ドル/円,HKDJPY=X,yahoo,20.71697998046875,20.724639892578125,20.5731201171875,20.719879150390625,0,JPY,CCY,2026-08-11T07:30:36+09:00
2026-07-10,個別株,HSBC,HSBA.L,yahoo,1463.800048828125,1475.800048828125,1456.4000244140625,1471.0,14955487,GBp,LSE,2026-08-10T22:49:08+09:00
2026-07-10,為替,インドルピー/円,INRJPY=X,yahoo,1.7020050287246704,1.7026530504226685,1.6910359859466553,1.7018309831619263,0,JPY,CCY,2026-08-11T07:30:36+09:00
2026-07-10,個別株,インテル,INTC,yahoo,109.58000183105469,110.8499984741211,107.44999694824219,109.83999633789062,70846600,USD,NMS,2026-08-10T22:49:08+09:00
2026-07-10,個別株,JPモルガン,JPM,yahoo,337.4700012207031,338.5899963378906,335.7699890136719,336.4700012207031,6299000,USD,NYQ,2026-08-10T22:49:08+09:00
2026-07-10,為替,韓国ウォン/円,KRWJPY=X,yahoo,0.10780800133943558,0.1078369989991188,0.10685700178146362,0.10779699683189392,0,JPY,CCY,2026-08-11T07:30:36+09:00
2026-07-10,個別株,LVMH,MC.PA,yahoo,492.95001220703125,495.1499938964844,486.3500061035156,489.8999938964844,331061,EUR,PAR,2026-08-10T22:49:08+09:00
2026-07-10,個別株,マクドナルド,MCD,yahoo,278.2099914550781,278.3999938964844,272.5,274.6000061035156,2980800,USD,NYQ,2026-08-10T22:49:08+09:00
2026-07-10,個別株,メタ,META,yahoo,660.3400268554688,677.8599853515625,658.010009765625,669.2100219726562,40608900,USD,NMS,2026-08-10T22:49:08+09:00
2026-07-10,個別株,マイクロソフト,MSFT,yahoo,387.79998779296875,391.9100036621094,381.5,385.1000061035156,24644600,USD,NMS,2026-08-10T22:49:08+09:00
2026-07-10,個別株,マイクロン,MU,yahoo,964.97998046875,998.0,954.1300048828125,979.2999877929688,31768100,USD,NMS,2026-08-10T22:49:08+09:00
2026-07-10,為替,メキシコペソ/円,MXNJPY=X,yahoo,9.253209114074707,9.258726119995117,9.21255111694336,9.255722045898438,0,JPY,CCY,2026-08-11T07:30:36+09:00
2026-07-10,個別株,エヌビディア,NVDA,yahoo,202.0,211.0,201.9199981689453,210.9600067138672,148421000,USD,NMS,2026-08-10T22:49:08+09:00
2026-07-10,個別株,オラクル,ORCL,yahoo,145.64999389648438,145.67999267578125,139.25999450683594,140.63999938964844,29843300,USD,NYQ,2026-08-10T22:49:08+09:00
2026-07-10,個別株,パランティア,PLTR,yahoo,132.13999938964844,132.27999877929688,125.7699966430664,126.79000091552734,31163000,USD,NMS,2026-08-10T22:49:08+09:00
2026-07-10,個別株,クアルコム,QCOM,yahoo,187.50999450683594,190.19000244140625,185.72000122070312,189.16000366210938,7064000,USD,NMS,2026-08-10T22:49:08+09:00
2026-07-10,個別株,SAP,SAP.DE,yahoo,137.5399932861328,140.60000610351562,137.0399932861328,137.5800018310547,1511294,EUR,GER,2026-08-10T22:49:08+09:00
2026-07-10,個別株,サンディスク,SNDK,yahoo,1778.9840087890625,1946.8349609375,1773.0,1915.9200439453125,11022700,USD,NMS,2026-08-10T22:49:08+09:00
2026-07-10,為替,トルコリラ/円,TRYJPY=X,yahoo,3.451047897338867,3.4574759006500244,3.4294369220733643,3.451620101928711,0,JPY,CCY,2026-08-11T07:30:36+09:00
2026-07-10,個別株,テスラ,TSLA,yahoo,410.489990234375,413.1600036621094,402.80999755859375,407.760009765625,33410000,USD,NMS,2026-08-10T22:49:08+09:00
2026-07-10,為替,台湾ドル/円,TWDJPY=X,yahoo,5.05571985244751,5.057995796203613,5.023091793060303,5.055434226989746,0,JPY,CCY,2026-08-11T07:30:36+09:00
2026-07-10,為替,米ドル/円,USDJPY=X,yahoo,162.3350067138672,162.41900634765625,161.29200744628906,162.36300659179688,0,JPY,CCY,2026-08-10T22:49:08+09:00
2026-07-10,個別株,フォルクスワーゲン,VOW3.DE,yahoo,72.12000274658203,72.55999755859375,70.33999633789062,70.9800033569336,1107903,EUR,GER,2026-08-10T22:49:08+09:00
2026-07-10,個別株,ウォルマート,WMT,yahoo,111.94999694824219,114.16000366210938,111.93000030517578,113.9000015258789,12461700,USD,NMS,2026-08-10T22:49:08+09:00
2026-07-10,暗号資産,リップル,XRP-USD,yahoo,1.0933300256729126,1.1169250011444092,1.089830994606018,1.103922963142395,1108026772,USD,CCC,2026-08-11T07:30:36+09:00
2026-07-10,海外指数,イスタンブール100,XU100.IS,yahoo,14109.2001953125,14379.7001953125,14092.7998046875,14321.2001953125,9505200000,TRY,IST,2026-08-10T22:49:08+09:00
2026-07-10,為替,南アフリカランド/円,ZARJPY=X,yahoo,9.947099685668945,9.947400093078613,9.899100303649902,9.946599960327148,0,JPY,CCY,2026-08-11T07:30:36+09:00
2026-07-10,海外指数,インドSENSEX30,^BSESN,yahoo,77395.6328125,77642.2265625,77320.5625,77569.390625,12300,INR,BSE,2026-08-10T22:49:08+09:00
2026-07-10,海外指数,仏CAC40,^FCHI,yahoo,8324.0703125,8350.830078125,8284.240234375,8338.9697265625,42483100,EUR,PAR,2026-08-10T22:49:08+09:00
2026-07-10,海外指数,英国FTSE100,^FTSE,yahoo,10471.900390625,10513.900390625,10462.7998046875,10497.2998046875,740632000,GBP,FGI,2026-08-10T22:49:08+09:00
2026-07-10,海外指数,ドイツDAX,^GDAXI,yahoo,25081.189453125,25195.830078125,24937.51953125,25067.08984375,48006700,EUR,GER,2026-08-10T22:49:08+09:00
2026-07-10,海外指数,S&P500,^GSPC,yahoo,7547.64013671875,7579.93017578125,7508.16015625,7575.39013671875,4006370000,USD,SNP,2026-08-10T22:49:08+09:00
