trade_date,rank,code,name,market,fetched_at
2026-08-11,1,285A,キオクシア,プライム,2026-08-11T19:00:29+09:00
2026-08-11,2,8306,三菱ＵＦＪ,プライム,2026-08-11T19:00:29+09:00
2026-08-11,3,7203,トヨタ,プライム,2026-08-11T19:00:29+09:00
2026-08-11,4,5803,フジクラ,プライム,2026-08-11T19:00:29+09:00
2026-08-11,5,9432,ＮＴＴ,プライム,2026-08-11T19:00:29+09:00
2026-08-11,6,6758,ソニーＧ,プライム,2026-08-11T19:00:29+09:00
2026-08-11,7,6098,リクルート,プライム,2026-08-11T19:00:29+09:00
2026-08-11,8,8411,みずほＦＧ,プライム,2026-08-11T19:00:29+09:00
2026-08-11,9,8316,三井住友ＦＧ,プライム,2026-08-11T19:00:29+09:00
2026-08-11,10,9984,ＳＢＧ,プライム,2026-08-11T19:00:29+09:00
2026-08-11,11,5401,日本製鉄,プライム,2026-08-11T19:00:29+09:00
2026-08-11,12,7011,三菱重,プライム,2026-08-11T19:00:29+09:00
2026-08-11,13,8035,東エレク,プライム,2026-08-11T19:00:29+09:00
2026-08-11,14,8058,三菱商,プライム,2026-08-11T19:00:29+09:00
2026-08-11,15,4901,富士フイルム,プライム,2026-08-11T19:00:29+09:00
2026-08-11,16,7182,ゆうちょ銀,プライム,2026-08-11T19:00:29+09:00
2026-08-11,17,6501,日立,プライム,2026-08-11T19:00:29+09:00
2026-08-11,18,7267,ホンダ,プライム,2026-08-11T19:00:29+09:00
2026-08-11,19,2914,ＪＴ,プライム,2026-08-11T19:00:29+09:00
2026-08-11,20,6981,村田製,プライム,2026-08-11T19:00:29+09:00
2026-08-11,21,8267,イオン,プライム,2026-08-11T19:00:29+09:00
2026-08-11,22,5016,ＪＸ金属,プライム,2026-08-11T19:00:29+09:00
2026-08-11,23,4751,サイバー,プライム,2026-08-11T19:00:29+09:00
2026-08-11,24,5706,三井金属,プライム,2026-08-11T19:00:29+09:00
2026-08-11,25,6857,アドテスト,プライム,2026-08-11T19:00:29+09:00
2026-08-11,26,8001,伊藤忠,プライム,2026-08-11T19:00:29+09:00
2026-08-11,27,6752,パナＨＤ,プライム,2026-08-11T19:00:29+09:00
2026-08-11,28,7272,ヤマハ発,プライム,2026-08-11T19:00:29+09:00
2026-08-11,29,8136,サンリオ,プライム,2026-08-11T19:00:29+09:00
2026-08-11,30,8729,ソニーＦＧ,プライム,2026-08-11T19:00:29+09:00
2026-08-12,1,8306,三菱ＵＦＪ,プライム,2026-08-12T19:05:17+09:00
2026-08-12,2,285A,キオクシア,プライム,2026-08-12T19:05:17+09:00
2026-08-12,3,7203,トヨタ,プライム,2026-08-12T19:05:17+09:00
2026-08-12,4,8136,サンリオ,プライム,2026-08-12T19:05:17+09:00
2026-08-12,5,8411,みずほＦＧ,プライム,2026-08-12T19:05:17+09:00
2026-08-12,6,8316,三井住友ＦＧ,プライム,2026-08-12T19:05:17+09:00
2026-08-12,7,9984,ＳＢＧ,プライム,2026-08-12T19:05:17+09:00
2026-08-12,8,9432,ＮＴＴ,プライム,2026-08-12T19:05:17+09:00
2026-08-12,9,5803,フジクラ,プライム,2026-08-12T19:05:17+09:00
2026-08-12,10,7011,三菱重,プライム,2026-08-12T19:05:17+09:00
2026-08-12,11,4755,楽天グループ,プライム,2026-08-12T19:05:17+09:00
2026-08-12,12,5401,日本製鉄,プライム,2026-08-12T19:05:17+09:00
2026-08-12,13,6758,ソニーＧ,プライム,2026-08-12T19:05:17+09:00
2026-08-12,14,8058,三菱商,プライム,2026-08-12T19:05:17+09:00
2026-08-12,15,6501,日立,プライム,2026-08-12T19:05:17+09:00
2026-08-12,16,8035,東エレク,プライム,2026-08-12T19:05:17+09:00
2026-08-12,17,6752,パナＨＤ,プライム,2026-08-12T19:05:17+09:00
2026-08-12,18,5016,ＪＸ金属,プライム,2026-08-12T19:05:17+09:00
2026-08-12,19,6981,村田製,プライム,2026-08-12T19:05:17+09:00
2026-08-12,20,2914,ＪＴ,プライム,2026-08-12T19:05:17+09:00
2026-08-12,21,7267,ホンダ,プライム,2026-08-12T19:05:17+09:00
2026-08-12,22,8267,イオン,プライム,2026-08-12T19:05:17+09:00
2026-08-12,23,4901,富士フイルム,プライム,2026-08-12T19:05:17+09:00
2026-08-12,24,7013,ＩＨＩ,プライム,2026-08-12T19:05:17+09:00
2026-08-12,25,9434,ＳＢ,プライム,2026-08-12T19:05:17+09:00
2026-08-12,26,6857,アドテスト,プライム,2026-08-12T19:05:17+09:00
2026-08-12,27,7974,任天堂,プライム,2026-08-12T19:05:17+09:00
2026-08-12,28,4587,ペプドリ,プライム,2026-08-12T19:05:17+09:00
2026-08-12,29,8001,伊藤忠,プライム,2026-08-12T19:05:17+09:00
2026-08-12,30,8604,野村,プライム,2026-08-12T19:05:17+09:00
