trade_date,name,close,numerator,denominator,calculated_at
2026-08-10,東証先導株比率1-5,31.58,2902717137500.0,9190461000000.0,2026-08-15T00:52:25+09:00
2026-08-10,東証先導株比率1-10,39.9,3666859762600.0,9190461000000.0,2026-08-15T00:52:25+09:00
2026-08-10,東証先導株比率1-20,50.03,4598270219100.0,9190461000000.0,2026-08-15T00:52:25+09:00
2026-08-10,東証先導株比率1-30,56.14,5159478415850.0,9190461000000.0,2026-08-15T00:52:25+09:00
2026-08-10,日経/プライム・売買代金比率,79.62,,,2026-08-15T00:52:25+09:00
2026-08-12,東証先導株比率1-5,32.41,3060126432400.0,9442145000000.0,2026-08-15T00:52:25+09:00
2026-08-12,東証先導株比率1-10,40.5,3824181176900.0,9442145000000.0,2026-08-15T00:52:25+09:00
2026-08-12,東証先導株比率1-20,51.2,4834534499200.0,9442145000000.0,2026-08-15T00:52:25+09:00
2026-08-12,東証先導株比率1-30,57.55,5434090274880.0,9442145000000.0,2026-08-15T00:52:25+09:00
2026-08-12,日経/プライム・売買代金比率,81.14,,,2026-08-15T00:52:25+09:00
2026-08-13,東証先導株比率1-5,37.59,3767139452300.0,10020645000000.0,2026-08-15T00:52:25+09:00
2026-08-13,東証先導株比率1-10,46.54,4663998722700.0,10020645000000.0,2026-08-15T00:52:25+09:00
2026-08-13,東証先導株比率1-20,55.62,5573606971800.0,10020645000000.0,2026-08-15T00:52:25+09:00
2026-08-13,東証先導株比率1-30,61.52,6164677028750.0,10020645000000.0,2026-08-15T00:52:25+09:00
2026-08-13,日経/プライム・売買代金比率,82.87,,,2026-08-15T00:52:25+09:00
2026-08-14,東証先導株比率1-5,36.27,3741354997100.0,10315639000000.0,2026-08-15T00:52:25+09:00
2026-08-14,東証先導株比率1-10,45.38,4681540152200.0,10315639000000.0,2026-08-15T00:52:25+09:00
2026-08-14,東証先導株比率1-20,55.18,5692455557000.0,10315639000000.0,2026-08-15T00:52:25+09:00
2026-08-14,東証先導株比率1-30,61.31,6324481083300.0,10315639000000.0,2026-08-15T00:52:25+09:00
2026-08-14,日経/プライム・売買代金比率,82.13,,,2026-08-15T00:52:25+09:00
