カレンダー
ニュース
マーケッツ
インジケータ
カントリー
予想
日用品
インデックス
株式
通貨
暗号
ボンズ
収益
休日
日用品
インデックス
株式
通貨
暗号
ボンズ
 エクスポート
 収益率
 地図
 散布
 相関関係
 予想
		価格	前日比	毎週	毎月	YTD	YoY	日付

	米国	5.1650	 0.0400	0.17%	0.51%	0.99%	0.99%	2026-09-25

	イギリス	5.3701	 0.0128	0.08%	0.35%	0.89%	0.61%	2026-09-25

	日本	3.0720	 0.0123	0.08%	0.18%	1.00%	1.41%	2026-09-25

	オーストラリア	5.4000	 0.0290	0.11%	0.37%	0.63%	0.99%	2026-09-25

	ドイツ	3.6061	 0.0053	0.08%	0.38%	0.74%	0.86%	2026-09-25

	ブラジル	14.1150	 0.0750	-0.15%	-0.43%	0.29%	0.50%	2026-09-25

	ロシア	16.6500	 0.0600	0.19%	0.59%	2.21%	1.85%	2026-09-25

	インド	7.1120	 0.0020	0.05%	0.26%	0.54%	0.61%	2026-09-25

	カナダ	3.9250	 0.0730	0.05%	0.27%	0.49%	0.70%	2026-09-25

	イタリア	4.4958	 0.0546	0.06%	0.44%	0.98%	0.89%	2026-09-25

	フランス	4.7260	 0.0019	0.15%	0.64%	1.17%	1.16%	2026-09-25

	南アフリカ	8.9400	 0.0800	0.10%	0.32%	0.73%	-0.23%	2026-09-25

	中国	1.6760	 0.0040	-0.01%	-0.01%	-0.19%	-0.23%	2026-09-24

	スイス	0.6488	 0.0120	0.09%	0.28%	0.37%	0.43%	2026-09-25

	メキシコ	9.4960	 0.0530	0.04%	0.32%	0.55%	0.95%	2026-09-25

	オランダ	3.7019	 0.0237	0.11%	0.39%	0.74%	0.80%	2026-09-25

	ニュージーランド	5.1210	 0.0399	0.16%	0.43%	0.71%	0.88%	2026-09-25

	ポルトガル	3.9970	 0.0045	0.10%	0.41%	0.84%	0.82%	2026-09-25

	韓国	4.4090	 0.0550	-0.14%	0.07%	1.02%	1.56%	2026-09-23

	スペイン	4.0770	 0.0006	0.08%	0.40%	0.79%	0.77%	2026-09-25

	ギリシャ	4.4210	 0.0289	0.13%	0.54%	0.94%	0.97%	2026-09-25

	トルコ	35.6100	 2.9700	2.99%	3.62%	8.45%	6.12%	2026-09-25




	ヨーロッパ	価格	前日比	毎週	毎月	YTD	YoY	日付

	イギリス	5.3701	 0.0128	0.08%	0.35%	0.89%	0.61%	2026-09-25

	ドイツ	3.6061	 0.0053	0.08%	0.38%	0.74%	0.86%	2026-09-25

	ロシア	16.6500	 0.0600	0.19%	0.59%	2.21%	1.85%	2026-09-25

	イタリア	4.4958	 0.0546	0.06%	0.44%	0.98%	0.89%	2026-09-25

	フランス	4.7260	 0.0019	0.15%	0.64%	1.17%	1.16%	2026-09-25

	スイス	0.6488	 0.0120	0.09%	0.28%	0.37%	0.43%	2026-09-25

	トルコ	35.6100	 2.9700	2.99%	3.62%	8.45%	6.12%	2026-09-25

	フィンランド	3.9220	 0.0017	0.09%	0.38%	0.75%	0.80%	2026-09-25

	リトアニア	4.4600	 0.0230	0.14%	0.51%	0.78%	0.79%	2026-09-25

	オランダ	3.7019	 0.0237	0.11%	0.39%	0.74%	0.80%	2026-09-25

	ノルウェー	4.6396	 0.0414	0.12%	0.23%	0.45%	0.56%	2026-09-25

	ポーランド	6.3990	 0.0250	0.09%	0.52%	1.25%	0.85%	2026-09-25

	ポルトガル	3.9970	 0.0045	0.10%	0.41%	0.84%	0.82%	2026-09-25

	ルーマニア	7.5400	 0.0550	0.21%	0.50%	0.73%	0.21%	2026-09-25

	スロバキア	4.3830	 0.0060	0.11%	0.46%	0.85%	0.85%	2026-09-25

	スロベニア	4.0270	 0.0280	0.12%	0.47%	0.88%	0.94%	2026-09-25

	スペイン	4.0770	 0.0006	0.08%	0.40%	0.79%	0.77%	2026-09-25

	スウェーデン	3.2900	 0.0350	0.08%	0.29%	0.54%	0.61%	2026-09-25

	ギリシャ	4.4210	 0.0289	0.13%	0.54%	0.94%	0.97%	2026-09-25

	ハンガリー	5.8474	 0.0239	0.05%	0.33%	-1.02%	-1.07%	2026-09-25

	アイスランド	7.1690	 0.0150	0.00%	0.23%	0.70%	0.38%	2026-09-25

	アイルランド	3.6840	 0.0050	0.07%	0.29%	0.66%	0.68%	2026-09-25

	オーストリア	3.8241	 0.0271	0.11%	0.39%	0.72%	0.77%	2026-09-25

	ベルギー	4.2925	 0.0390	0.12%	0.52%	0.95%	1.00%	2026-09-25

	クロアチア	3.9520	 0.0001	0.00%	0.36%	0.69%	0.89%	2026-09-24

	チェコ共和国	5.3866	 0.0334	0.08%	0.43%	0.89%	0.85%	2026-09-25

	デンマーク	3.4300	 0.0226	0.09%	0.39%	0.68%	0.86%	2026-09-25

	ユーロ圏	4.01	 0.05	0.12%	0.40%	0.76%	0.77%	2026-09-24


	アメリカ	価格	前日比	毎週	毎月	YTD	YoY	日付

	米国	5.1650	 0.0400	0.17%	0.51%	0.99%	0.99%	2026-09-25

	ブラジル	14.1150	 0.0750	-0.15%	-0.43%	0.29%	0.50%	2026-09-25

