date,level,major,sector,name,change,count,weight_sum,market_cap_trillion,avg_market_cap_trillion,market_cap_count
2026-08-26,demand,,,内需,0.22,251,218.0,359.4144,1.461,246
2026-08-26,demand,,,外需,0.036,203,156.5,737.5664,3.6878,200
2026-08-26,major,,,ディフェンシブ・公共,0.195,61,,106.7444,1.7791,60
2026-08-26,major,,,内需・国内景気,0.098,173,,230.1385,1.3538,170
2026-08-26,major,,,外需・グローバル景気,0.0909,170,,573.4066,3.4336,167
2026-08-26,major,,,資源・市況,-0.0043,40,,136.664,3.4166,40
2026-08-26,major,,,金融・金利敏感,1.1206,45,,200.3228,4.5528,44
2026-08-26,sector,外需・グローバル景気,,エンタメ・電子,1.2004,1,,23.0858,23.0858,1
2026-08-26,sector,外需・グローバル景気,,グローバルハイテク・電子,0.4313,16,,37.7447,2.359,16
2026-08-26,sector,外需・グローバル景気,,グローバルヘルスケア,-0.4937,1,,,,0
2026-08-26,sector,外需・グローバル景気,,グローバル卸売,0.5273,1,,0.3777,0.3777,1
2026-08-26,sector,外需・グローバル景気,,グローバル建設・不動産,-0.2194,1,,0.7928,0.7928,1
2026-08-26,sector,外需・グローバル景気,,グローバル情報通信,0.0649,2,,12.9891,6.4946,2
2026-08-26,sector,外需・グローバル景気,,グローバル機械,-0.0169,24,,65.1604,2.715,24
2026-08-26,sector,外需・グローバル景気,,グローバル消費,-1.3708,4,,26.9679,6.742,4
2026-08-26,sector,外需・グローバル景気,,グローバル素材,0.0327,23,,20.4896,0.8909,23
2026-08-26,sector,外需・グローバル景気,,コンテンツ,0.3449,13,,29.0333,2.2333,13
2026-08-26,sector,外需・グローバル景気,,医療・画像・電子材料,1.5697,1,,4.0678,4.0678,1
2026-08-26,sector,外需・グローバル景気,,半導体,-0.2028,22,,131.8522,6.2787,21
2026-08-26,sector,外需・グローバル景気,,投資・ハイテク,1.494,1,,29.7016,29.7016,1
2026-08-26,sector,外需・グローバル景気,,消費・機械,-1.4944,1,,1.7194,1.7194,1
2026-08-26,sector,外需・グローバル景気,,精密・医療,-0.7975,8,,18.7185,2.3398,8
2026-08-26,sector,外需・グローバル景気,,精密・計測,0.327,3,,1.831,0.6103,3
2026-08-26,sector,外需・グローバル景気,,自動車,0.3047,23,,83.8574,3.646,23
2026-08-26,sector,外需・グローバル景気,,自動車・機械,0.0578,4,,2.2438,0.561,4
2026-08-26,sector,外需・グローバル景気,,自動車・電子,0.2383,4,,2.3678,0.7893,3
2026-08-26,sector,外需・グローバル景気,,重工・造船,0.8966,1,,0.4532,0.4532,1
2026-08-26,sector,外需・グローバル景気,,重工・防衛,-1.1385,4,,19.266,4.8165,4
2026-08-26,sector,外需・グローバル景気,,電機,0.9842,12,,60.6867,5.0572,12
2026-08-26,sector,資源・市況,,エネルギー,-1.0837,4,,6.4905,1.6226,4
2026-08-26,sector,資源・市況,,市況機械,-1.5709,1,,0.6668,0.6668,1
2026-08-26,sector,資源・市況,,市況素材,0.9212,20,,20.5939,1.0297,20
2026-08-26,sector,資源・市況,,市況運輸・物流,-2.5936,3,,7.4536,2.4845,3
2026-08-26,sector,資源・市況,,総合商社,-0.4361,7,,73.1902,10.4557,7
2026-08-26,sector,資源・市況,,資源開発,-1.0572,1,,4.8552,4.8552,1
2026-08-26,sector,資源・市況,,非鉄・半導体,0.7853,1,,3.5993,3.5993,1
2026-08-26,sector,資源・市況,,非鉄・電線,-0.5279,3,,19.8144,6.6048,3
2026-08-26,sector,内需・国内景気,,サービス,0.0286,14,,34.5634,2.4688,14
2026-08-26,sector,内需・国内景気,,メディア,0.1192,3,,2.4142,0.8047,3
2026-08-26,sector,内需・国内景気,,公共・金融,0.9462,1,,6.8099,6.8099,1
2026-08-26,sector,内需・国内景気,,国内ハイテク・電子,-0.3984,1,,0.7949,0.7949,1
2026-08-26,sector,内需・国内景気,,国内ヘルスケア,0.123,8,,3.3522,0.4789,7
2026-08-26,sector,内需・国内景気,,国内卸売,0.2421,2,,1.1147,0.5573,2
2026-08-26,sector,内需・国内景気,,国内建設・不動産,0.4635,38,,44.791,1.2106,37
2026-08-26,sector,内需・国内景気,,国内情報通信,-0.0921,25,,61.8996,2.476,25
2026-08-26,sector,内需・国内景気,,国内機械,0.4367,2,,0.5492,0.2746,2
2026-08-26,sector,内需・国内景気,,国内消費,0.1829,43,,43.6039,1.014,43
2026-08-26,sector,内需・国内景気,,国内素材,1.3951,1,,0.6901,0.6901,1
2026-08-26,sector,内需・国内景気,,国内運輸・物流,-0.4002,31,,28.408,0.9164,31
2026-08-26,sector,内需・国内景気,,消費・コンテンツ,0.4231,1,,,,0
2026-08-26,sector,内需・国内景気,,運輸・不動産,0.2565,1,,0.5534,0.5534,1
2026-08-26,sector,内需・国内景気,,食品,0.2303,2,,0.5941,0.297,2
2026-08-26,sector,金融・金利敏感,,金融,1.1206,45,,200.3228,4.5528,44
2026-08-26,sector,ディフェンシブ・公共,,ディフェンシブヘルスケア,0.8418,16,,46.6685,3.1112,15
2026-08-26,sector,ディフェンシブ・公共,,ディフェンシブ消費,-0.4452,31,,45.6431,1.4724,31
2026-08-26,sector,ディフェンシブ・公共,,公益,0.8735,14,,14.4327,1.0309,14
2026-08-26,industry,外需・グローバル景気,エンタメ・電子,エンタメ・半導体,1.2004,1,,23.0858,23.0858,1
2026-08-26,industry,外需・グローバル景気,グローバルハイテク・電子,光センサー,-0.2551,1,,0.7586,0.7586,1
2026-08-26,industry,外需・グローバル景気,グローバルハイテク・電子,光源・産業機器,0.9231,1,,0.3307,0.3307,1
2026-08-26,industry,外需・グローバル景気,グローバルハイテク・電子,半導体・IT商社,1.5659,2,,0.9726,0.4863,2
2026-08-26,industry,外需・グローバル景気,グローバルハイテク・電子,印刷・半導体材料,1.1229,2,,2.8371,1.4185,2
2026-08-26,industry,外需・グローバル景気,グローバルハイテク・電子,水処理装置,1.5193,1,,0.9563,0.9563,1
2026-08-26,industry,外需・グローバル景気,グローバルハイテク・電子,電子・産業用セラミックス,0.0083,3,,3.9012,1.3004,3
2026-08-26,industry,外需・グローバル景気,グローバルハイテク・電子,電子部品,-0.2462,5,,27.6249,5.525,5
2026-08-26,industry,外需・グローバル景気,グローバルハイテク・電子,電機・電子部品,0.5427,1,,0.3633,0.3633,1
2026-08-26,industry,外需・グローバル景気,グローバルヘルスケア,創薬基盤,-0.4937,1,,,,0
