code,major,sector,industry,demand
1332,内需・国内景気,食品,水産・食品原料,内需
1333,内需・国内景気,食品,水産・食品原料,内需
1414,内需・国内景気,建設・不動産,インフラ補修,強内需
1417,内需・国内景気,建設・不動産,通信設備工事,強内需
1605,資源・市況,資源開発,石油・天然ガス開発,強外需
1719,内需・国内景気,建設・不動産,総合建設・設備工事,強内需
1721,内需・国内景気,建設・不動産,通信設備工事,強内需
1801,内需・国内景気,建設・不動産,総合建設・設備工事,強内需
1802,内需・国内景気,建設・不動産,総合建設・設備工事,強内需
1803,内需・国内景気,建設・不動産,総合建設・設備工事,強内需
1808,内需・国内景気,建設・不動産,総合建設・設備工事,強内需
1812,内需・国内景気,建設・不動産,総合建設・設備工事,強内需
1820,内需・国内景気,建設・不動産,総合建設・設備工事,強内需
1860,内需・国内景気,建設・不動産,総合建設・設備工事,強内需
1878,内需・国内景気,建設・不動産,不動産開発・賃貸,強内需
1893,内需・国内景気,建設・不動産,海洋土木,強内需
1911,内需・国内景気,建設・不動産,住宅・木材,内外均衡
1925,内需・国内景気,建設・不動産,住宅・不動産開発,内需
1928,内需・国内景気,建設・不動産,住宅・不動産開発,内需
1942,内需・国内景気,建設・不動産,電力設備工事,強内需
1944,内需・国内景気,建設・不動産,電力設備工事,強内需
1951,内需・国内景気,建設・不動産,通信設備工事,強内需
1959,内需・国内景気,建設・不動産,空調・設備工事,強内需
1963,外需・グローバル景気,機械,プラント・エンジニアリング,外需
1969,内需・国内景気,建設・不動産,空調・設備工事,強内需
2002,ディフェンシブ・公共,消費,食品・飲料,強内需
2127,内需・国内景気,サービス,M&A仲介,強内需
2181,内需・国内景気,サービス,人材,内需
2201,ディフェンシブ・公共,消費,食品・飲料,強内需
2206,ディフェンシブ・公共,消費,食品・飲料,強内需
2212,ディフェンシブ・公共,消費,食品・飲料,強内需
2222,内需・国内景気,消費,菓子・土産,強内需
2229,ディフェンシブ・公共,消費,食品・飲料,強内需
2264,ディフェンシブ・公共,消費,食品・飲料,強内需
2267,ディフェンシブ・公共,消費,食品・飲料,内外均衡
2269,ディフェンシブ・公共,消費,食品・飲料,強内需
2282,ディフェンシブ・公共,消費,食品・飲料,強内需
2327,内需・国内景気,情報通信,SI・システム開発,強内需
2331,内需・国内景気,サービス,警備,強内需
2371,内需・国内景気,情報通信,インターネットサービス,強内需
2413,内需・国内景気,ヘルスケア,医療情報サービス,内外均衡
2432,外需・グローバル景気,コンテンツ,ゲーム・コンテンツ,外需
2433,内需・国内景気,サービス,広告,強内需
2501,ディフェンシブ・公共,消費,食品・飲料,強内需
2502,ディフェンシブ・公共,消費,ビール・飲料,強内需
2503,ディフェンシブ・公共,消費,ビール・飲料,強内需
2531,ディフェンシブ・公共,消費,食品・飲料,強内需
2579,ディフェンシブ・公共,消費,食品・飲料,強内需
2587,ディフェンシブ・公共,消費,食品・飲料,内外均衡
2593,ディフェンシブ・公共,消費,食品・飲料,強内需
2607,ディフェンシブ・公共,消費,食品・飲料,内外均衡
2670,内需・国内景気,消費,靴・専門店,内需
2768,資源・市況,総合商社,総合商社,強外需
2784,内需・国内景気,ヘルスケア,医薬品卸,強内需
2801,ディフェンシブ・公共,消費,調味料,強内需
2802,ディフェンシブ・公共,消費,調味料・食品素材,強内需
2809,ディフェンシブ・公共,消費,食品・飲料,強内需
2810,ディフェンシブ・公共,消費,食品・飲料,強内需
2811,ディフェンシブ・公共,消費,食品・飲料,強内需
285A,外需・グローバル景気,半導体,半導体メモリ,強外需
2871,ディフェンシブ・公共,消費,食品・飲料,強内需
2875,ディフェンシブ・公共,消費,食品・飲料,強内需
2897,ディフェンシブ・公共,消費,食品・飲料,強内需
2914,ディフェンシブ・公共,消費,たばこ,強外需
3003,内需・国内景気,建設・不動産,不動産開発・賃貸,強内需
3038,内需・国内景気,卸売,専門商社・卸売,内需
3048,内需・国内景気,消費,小売,強内需
3064,内需・国内景気,消費,B2B・EC,内需
3086,内需・国内景気,消費,百貨店,強内需
3088,内需・国内景気,消費,ドラッグストア・調剤,強内需
3092,内需・国内景気,消費,ファッションEC,強内需
3099,内需・国内景気,消費,百貨店,強内需
3105,外需・グローバル景気,ハイテク・電子,電機・電子部品,外需
3107,外需・グローバル景気,ハイテク・電子,半導体・IT商社,外需
3116,外需・グローバル景気,自動車,自動車部品,強外需
3132,外需・グローバル景気,ハイテク・電子,半導体・IT商社,外需
3197,内需・国内景気,消費,外食,内需
3231,内需・国内景気,建設・不動産,不動産開発・賃貸,強内需
3288,内需・国内景気,建設・不動産,不動産開発・賃貸,強内需
3289,内需・国内景気,建設・不動産,不動産開発・賃貸,強内需
3291,内需・国内景気,建設・不動産,不動産開発・賃貸,強内需
3349,内需・国内景気,消費,ドラッグストア・調剤,強内需
3360,内需・国内景気,ヘルスケア,医療機器・病院支援,強内需
3382,内需・国内景気,消費,総合小売,強内需
3391,内需・国内景気,消費,ドラッグストア・調剤,強内需
3397,内需・国内景気,消費,外食,内需
3401,外需・グローバル景気,素材,高機能繊維・素材,外需
3402,外需・グローバル景気,素材,高機能繊維・素材,外需
3405,外需・グローバル景気,素材,化学・機能材料,外需
3407,外需・グローバル景気,素材,化学・機能材料,外需
3436,外需・グローバル景気,半導体,シリコンウエハ,強外需
3549,内需・国内景気,消費,ドラッグストア・調剤,強内需
3563,内需・国内景気,消費,小売,内外均衡
3591,内需・国内景気,消費,衣料・インナー,内需
3626,内需・国内景気,情報通信,SI・システム開発,強内需
3635,外需・グローバル景気,コンテンツ,ゲーム・コンテンツ,外需
3659,外需・グローバル景気,コンテンツ,ゲーム・コンテンツ,外需
3697,内需・国内景気,情報通信,ソフトウェアテスト・DX,強内需
3769,内需・国内景気,情報通信,決済プラットフォーム,強内需
3774,内需・国内景気,情報通信,通信・クラウド基盤,強内需
3861,資源・市況,素材,紙・包装材,内需
3923,内需・国内景気,情報通信,SaaS,強内需
3941,資源・市況,素材,紙・包装材,内需
3994,内需・国内景気,情報通信,SaaS,強内需
4004,外需・グローバル景気,半導体,半導体材料・石油化学,外需
4005,資源・市況,素材,総合・基礎化学,外需
4021,外需・グローバル景気,素材,機能性化学・農薬,外需
4042,資源・市況,素材,総合・基礎化学,外需
4043,資源・市況,素材,総合・基礎化学,外需
4045,外需・グローバル景気,素材,化学・機能材料,外需
4061,資源・市況,素材,総合・基礎化学,外需
4062,外需・グローバル景気,半導体,半導体基板・パッケージ,強外需
4063,外需・グローバル景気,半導体,半導体・電子材料,強外需
4091,外需・グローバル景気,素材,産業ガス,強外需
4114,外需・グローバル景気,素材,化学・機能材料,外需
4118,外需・グローバル景気,素材,化学・機能材料,外需
4151,ディフェンシブ・公共,ヘルスケア,医薬品,内外均衡
417A,内需・国内景気,消費,スーパー,強内需
4182,外需・グローバル景気,素材,化学・機能材料,外需
4183,資源・市況,素材,総合・基礎化学,外需
4186,外需・グローバル景気,半導体,半導体・電子材料,強外需
4188,資源・市況,素材,総合・基礎化学,外需
4194,内需・国内景気,サービス,人材プラットフォーム,強内需
4202,外需・グローバル景気,素材,機能性化学,外需
4203,外需・グローバル景気,素材,機能性化学,外需
4204,外需・グローバル景気,素材,機能性化学,外需
4205,外需・グローバル景気,素材,機能性化学,外需
4206,内需・国内景気,建設・不動産,建築化学材,強内需
4208,資源・市況,素材,総合・基礎化学,外需
4272,外需・グローバル景気,素材,化学・機能材料,外需
4307,内需・国内景気,情報通信,SI・システム開発,強内需
4324,内需・国内景気,サービス,広告,内外均衡
4385,内需・国内景気,情報通信,フリマ・EC,内需
4401,外需・グローバル景気,素材,機能性化学,外需
4403,外需・グローバル景気,素材,機能性化学,外需
4452,ディフェンシブ・公共,消費,日用品・ヘルスケア,強内需
4502,ディフェンシブ・公共,ヘルスケア,医薬品,外需
4503,ディフェンシブ・公共,ヘルスケア,医薬品,外需
4506,ディフェンシブ・公共,ヘルスケア,医薬品,内外均衡
4507,ディフェンシブ・公共,ヘルスケア,医薬品,内外均衡
4516,ディフェンシブ・公共,ヘルスケア,医薬品,内外均衡
4519,ディフェンシブ・公共,ヘルスケア,医薬品,強外需
