trade_date,name,close,change,change_pct,fetched_at
2026-08-17,読売333,53819.32,-264.56,-0.49,2026-08-17T18:40:16+09:00
2026-08-18,読売333,53368.5,-450.82,-0.84,2026-08-18T18:31:50+09:00
2026-08-19,読売333,52122.36,-1246.14,-2.33,2026-08-19T18:34:32+09:00
2026-08-20,読売333,52861.1,738.74,1.42,2026-08-20T18:33:24+09:00
2026-08-21,読売333,52957.88,96.78,0.18,2026-08-21T18:34:57+09:00
2026-08-24,読売333,53109.0,151.12,0.29,2026-08-24T18:45:38+09:00
2026-08-25,読売333,53351.57,242.57,0.46,2026-08-25T18:34:24+09:00
2026-08-26,読売333,53432.56,80.99,0.15,2026-08-26T18:39:46+09:00
2026-08-27,読売333,53449.9,17.34,0.03,2026-08-28T04:27:09+09:00
2026-08-28,読売333,53701.34,251.44,0.47,2026-08-29T05:42:49+09:00
2026-08-31,読売333,53772.52,71.18,0.13,2026-09-01T01:43:33+09:00
2026-09-01,読売333,54208.7,436.18,0.81,2026-09-01T22:56:20+09:00
