日付,終値,始値,高値,安値,出来高,変化率 %
2026/8/14,758,742.86,763.27,742.69,,2.01%
2026/8/13,743.1,743.04,746.73,738.88,,-0.35%
2026/8/12,745.68,738.58,745.68,737.44,,1.15%
2026/8/10,737.17,728.01,740.11,726.33,,1.81%
2026/8/7,724.09,721.56,724.09,715.32,,0.44%
2026/8/6,720.92,718.82,725.55,717.18,,-0.34%
2026/8/5,723.41,708.34,724.63,708.03,,2.78%
2026/8/4,703.82,691.7,705.47,690.07,,2.35%
2026/8/3,687.65,681.94,688.99,672.48,,0.24%
2026/7/31,685.97,671.3,690.01,669.13,,2.85%
2026/7/30,666.97,665.79,671.39,662.31,,0.13%
2026/7/29,666.12,680.46,680.46,659.08,,-1.54%
2026/7/28,676.57,692.52,692.52,675.13,,-2.64%
2026/7/27,694.92,689.46,695.34,684.27,,1.28%
2026/7/24,686.12,692.28,692.28,683.32,,-1.92%
2026/7/23,699.52,695.41,704.55,695.41,,0.43%
2026/7/22,696.54,704.18,708.31,696.54,,-1.07%
2026/7/21,704.07,696.94,706.98,693.62,,1.28%
2026/7/18,695.17,712.85,695.17,695.17,,0.00%
2026/7/17,695.17,712.85,713.12,684.62,,-3.38%
2026/7/16,719.47,734.11,738.94,718.16,,-2.34%
2026/7/15,736.74,720.71,736.79,716.19,,2.10%
2026/7/14,721.57,717.45,722.97,713.84,,0.66%
2026/7/13,716.87,719.09,732,711.28,,-0.28%
2026/7/10,718.88,714.99,724.65,712.24,,0.47%
2026/7/9,715.54,710.77,718.41,708.7,,0.58%
2026/7/8,711.43,725.93,725.93,711.43,,-2.63%
2026/7/7,730.63,740.3,747.85,728.49,,-1.76%
2026/7/6,743.75,735.5,748.73,734.31,,1.44%
2026/7/3,733.18,717.8,733.18,717.48,,2.90%
2026/7/2,712.49,703.42,719.24,702.53,,1.83%
2026/7/1,699.67,703.95,708.11,696.16,,-0.98%
2026/6/30,706.62,703.48,708.3,698.68,,0.55%
2026/6/29,702.77,689.69,702.77,687.19,,2.96%
2026/6/26,682.55,693.58,695.63,678.49,,-2.51%
2026/6/25,700.14,702.56,702.56,693.83,,0.69%
2026/6/24,695.31,701.1,705.85,693.06,,-0.15%
2026/6/23,696.37,716.51,720.22,696.07,,-2.92%
2026/6/22,717.31,697.57,723.46,696.72,,3.20%
2026/6/19,695.08,713.88,713.89,691.39,,-2.90%
2026/6/18,715.81,713.44,722.14,710.49,,0.47%
2026/6/17,712.43,716.52,720.74,709.87,,-0.26%
2026/6/16,714.31,713.53,719.32,706.62,,0.18%
2026/6/15,713,727.4,728.18,710.19,,-1.59%
2026/6/12,724.49,730.31,736.09,718.49,,0.21%
2026/6/11,722.99,714.46,723.68,704.04,,0.07%
2026/6/10,722.49,736.83,736.83,712.86,,-2.45%
