日付,終値,始値,高値,安値,変化率 %
2026/8/14,0.378,0.366,0.389,0.359,7.23%
2026/8/13,0.353,0.379,0.4,0.347,-5.19%
2026/8/12,0.372,0.391,0.407,0.372,-12.15%
2026/8/11,0.424,0.403,0.431,0.401,5.29%
2026/8/10,0.402,0.368,0.409,0.361,12.97%
2026/8/7,0.356,0.355,0.39,0.355,5.67%
2026/8/6,0.337,0.351,0.358,0.335,-8.77%
2026/8/5,0.37,0.365,0.374,0.347,-1.15%
2026/8/4,0.374,0.405,0.424,0.366,-6.55%
2026/8/3,0.4,0.42,0.424,0.393,-2.84%
2026/7/31,0.412,0.408,0.433,0.406,0.00%
2026/7/30,0.412,0.433,0.45,0.412,-4.65%
2026/7/29,0.432,0.403,0.433,0.403,7.73%
2026/7/28,0.401,0.422,0.425,0.389,-4.95%
2026/7/27,0.422,0.465,0.479,0.406,-9.43%
2026/7/24,0.466,0.514,0.522,0.463,-10.51%
2026/7/23,0.52,0.472,0.542,0.47,14.65%
2026/7/22,0.454,0.45,0.47,0.448,1.05%
2026/7/21,0.449,0.452,0.472,0.447,-1.30%
2026/7/20,0.455,0.424,0.47,0.424,6.41%
2026/7/17,0.428,0.431,0.443,0.417,1.47%
2026/7/16,0.421,0.425,0.449,0.42,2.08%
2026/7/15,0.413,0.431,0.45,0.413,-0.77%
2026/7/14,0.416,0.418,0.465,0.416,2.26%
2026/7/13,0.407,0.398,0.42,0.398,1.78%
2026/7/10,0.4,0.385,0.416,0.373,3.90%
2026/7/9,0.385,0.376,0.411,0.361,2.20%
2026/7/8,0.377,0.365,0.383,0.341,9.13%
2026/7/7,0.345,0.325,0.349,0.32,5.89%
2026/7/6,0.326,0.319,0.331,0.309,3.63%
2026/7/3,0.314,0.307,0.337,0.307,2.01%
2026/7/2,0.308,0.293,0.32,0.285,9.99%
2026/7/1,0.28,0.275,0.303,0.275,3.39%
2026/6/30,0.271,0.253,0.297,0.253,3.59%
2026/6/29,0.262,0.256,0.266,0.242,7.83%
2026/6/26,0.243,0.251,0.258,0.235,-4.22%
2026/6/25,0.253,0.268,0.282,0.243,-5.56%
2026/6/24,0.268,0.319,0.328,0.264,-10.63%
2026/6/23,0.3,0.324,0.331,0.299,-3.84%
2026/6/22,0.312,0.332,0.34,0.312,-5.65%
2026/6/19,0.331,0.325,0.339,0.321,2.89%
2026/6/18,0.322,0.324,0.334,0.304,1.58%
2026/6/17,0.317,0.337,0.345,0.313,-7.24%
2026/6/16,0.341,0.359,0.365,0.334,-4.24%
2026/6/15,0.356,0.39,0.392,0.352,-10.25%
2026/6/12,0.397,0.407,0.417,0.386,-6.81%
2026/6/11,0.426,0.437,0.459,0.419,-2.52%
2026/6/10,0.437,0.422,0.46,0.418,5.05%
2026/6/9,0.416,0.433,0.438,0.414,-3.70%
2026/6/8,0.432,0.428,0.457,0.42,1.89%
2026/6/5,0.424,0.401,0.424,0.4,6.80%
2026/6/4,0.397,0.406,0.427,0.393,0.00%
2026/6/3,0.397,0.391,0.422,0.387,6.43%
2026/6/2,0.373,0.409,0.413,0.373,-8.58%
2026/6/1,0.408,0.408,0.423,0.393,5.15%
2026/5/29,0.388,0.416,0.426,0.387,-5.13%
2026/5/28,0.409,0.458,0.476,0.409,-10.11%
2026/5/27,0.455,0.502,0.507,0.443,-7.33%
2026/5/26,0.491,0.557,0.558,0.484,-11.69%
2026/5/25,0.556,0.556,0.561,0.556,0.54%
2026/5/22,0.553,0.592,0.594,0.54,-4.98%
2026/5/21,0.582,0.523,0.598,0.521,11.92%
2026/5/20,0.52,0.587,0.588,0.517,-10.34%
2026/5/19,0.58,0.551,0.585,0.549,4.32%
2026/5/18,0.556,0.523,0.583,0.521,10.32%
2026/5/15,0.504,0.448,0.512,0.446,14.03%
2026/5/14,0.442,0.442,0.444,0.442,-0.45%
2026/5/13,0.444,0.442,0.453,0.434,1.83%
2026/5/12,0.436,0.391,0.443,0.391,14.74%
2026/5/11,0.38,0.379,0.387,0.365,5.26%
2026/5/8,0.361,0.375,0.377,0.357,-1.63%
2026/5/7,0.367,0.378,0.382,0.352,0.27%
2026/5/6,0.366,0.383,0.395,0.347,-9.18%
2026/5/5,0.403,0.426,0.43,0.4,-3.13%
2026/5/4,0.416,0.393,0.421,0.393,6.39%
2026/4/30,0.391,0.462,0.468,0.391,-11.74%
2026/4/29,0.443,0.441,0.46,0.408,2.78%
2026/4/28,0.431,0.435,0.45,0.421,4.61%
2026/4/27,0.412,0.439,0.444,0.41,-5.94%
2026/4/24,0.438,0.437,0.475,0.419,6.31%
2026/4/23,0.412,0.412,0.442,0.4,0.98%
2026/4/22,0.408,0.413,0.422,0.388,1.75%
2026/4/21,0.401,0.394,0.416,0.38,1.01%
2026/4/20,0.397,0.401,0.419,0.385,-0.75%
2026/4/17,0.4,0.421,0.435,0.379,-6.10%
2026/4/16,0.426,0.424,0.43,0.404,4.67%
2026/4/15,0.407,0.441,0.441,0.403,-7.08%
2026/4/14,0.438,0.438,0.453,0.413,-3.95%
2026/4/13,0.456,0.453,0.476,0.428,3.40%
2026/4/10,0.441,0.421,0.444,0.41,8.09%
2026/4/9,0.408,0.4,0.444,0.4,7.65%
2026/4/8,0.379,0.38,0.419,0.356,-15.59%
2026/4/7,0.449,0.394,0.457,0.393,15.72%
2026/4/2,0.388,0.382,0.424,0.377,5.72%
2026/4/1,0.367,0.359,0.381,0.318,3.38%
2026/3/31,0.355,0.382,0.403,0.342,-7.79%
2026/3/30,0.385,0.384,0.429,0.375,-5.64%
2026/3/27,0.408,0.42,0.448,0.403,3.29%
2026/3/26,0.395,0.359,0.395,0.354,24.61%
2026/3/25,0.317,0.364,0.372,0.311,-18.30%
2026/3/24,0.388,0.412,0.412,0.357,-2.51%
2026/3/23,0.398,0.43,0.436,0.328,10.86%
2026/3/20,0.359,0.343,0.395,0.324,2.57%
2026/3/19,0.35,0.373,0.405,0.312,-0.57%
2026/3/18,0.352,0.325,0.368,0.296,6.34%
2026/3/17,0.331,0.363,0.386,0.325,-9.81%
2026/3/16,0.367,0.398,0.42,0.355,-6.62%
2026/3/13,0.393,0.405,0.431,0.392,0.26%
2026/3/12,0.392,0.37,0.439,0.37,1.29%
2026/3/11,0.387,0.37,0.437,0.37,6.61%
2026/3/10,0.363,0.408,0.412,0.353,-14.18%
2026/3/9,0.423,0.39,0.478,0.39,11.02%
2026/3/6,0.381,0.358,0.408,0.347,10.12%
2026/3/5,0.346,0.307,0.353,0.304,15.72%
2026/3/4,0.299,0.298,0.316,0.273,-1.97%
2026/3/3,0.305,0.262,0.321,0.262,19.61%
2026/3/2,0.255,0.207,0.259,0.199,27.50%
2026/2/27,0.2,0.221,0.238,0.189,-11.11%
2026/2/26,0.225,0.23,0.244,0.206,-1.75%
2026/2/25,0.229,0.228,0.246,0.221,-1.72%
2026/2/24,0.233,0.241,0.243,0.209,-6.05%
2026/2/23,0.248,0.266,0.271,0.219,-5.34%
2026/2/20,0.262,0.268,0.282,0.247,-2.24%
2026/2/19,0.268,0.24,0.28,0.24,12.61%
2026/2/18,0.238,0.24,0.261,0.218,1.28%
2026/2/17,0.235,0.253,0.253,0.203,-7.48%
2026/2/16,0.254,0.276,0.282,0.252,-5.58%
2026/2/13,0.269,0.288,0.303,0.263,-6.27%
2026/2/12,0.287,0.303,0.317,0.263,-8.01%
2026/2/11,0.312,0.256,0.332,0.248,23.81%
2026/2/10,0.252,0.246,0.287,0.244,-4.55%
2026/2/9,0.264,0.259,0.273,0.252,3.94%
2026/2/6,0.254,0.251,0.27,0.247,-3.42%
2026/2/5,0.263,0.268,0.299,0.247,-5.05%
2026/2/4,0.277,0.285,0.297,0.244,-2.46%
2026/2/3,0.284,0.238,0.298,0.233,19.83%
2026/2/2,0.237,0.221,0.24,0.22,13.40%
2026/1/30,0.209,0.225,0.233,0.18,-8.33%
2026/1/29,0.228,0.254,0.262,0.206,-10.94%
2026/1/28,0.256,0.242,0.271,0.202,-5.88%
2026/1/27,0.272,0.285,0.291,0.262,-1.09%
2026/1/26,0.275,0.3,0.329,0.273,-5.17%
2026/1/23,0.29,0.282,0.313,0.251,1.40%
2026/1/22,0.286,0.273,0.31,0.256,0.00%
2026/1/21,0.286,0.28,0.346,0.244,0.70%
2026/1/20,0.284,0.296,0.299,0.247,6.37%
2026/1/19,0.267,0.255,0.28,0.233,3.89%
2026/1/16,0.257,0.272,0.272,0.211,3.63%
2026/1/15,0.248,0.235,0.287,0.219,-4.98%
2026/1/14,0.261,0.27,0.292,0.235,-1.88%
2026/1/13,0.266,0.308,0.311,0.242,4.72%
2026/1/12,0.254,0.298,0.319,0.242,-14.77%
2026/1/9,0.298,0.279,0.315,0.267,0.34%
2026/1/8,0.297,0.28,0.311,0.276,7.61%
2026/1/7,0.276,0.296,0.31,0.264,-3.83%
2026/1/6,0.287,0.294,0.322,0.261,3.61%
2026/1/5,0.277,0.319,0.329,0.245,-10.93%
2026/1/2,0.311,0.316,0.323,0.274,10.28%
2025/12/31,0.282,0.304,0.304,0.282,-11.60%
2025/12/30,0.319,0.305,0.373,0.291,5.63%
2025/12/29,0.302,0.307,0.367,0.287,8.63%
2025/12/24,0.278,0.316,0.316,0.278,-17.26%
2025/12/23,0.336,0.34,0.364,0.315,-1.18%
2025/12/22,0.34,0.335,0.365,0.313,1.80%
2025/12/19,0.334,0.329,0.345,0.307,7.05%
2025/12/18,0.312,0.326,0.338,0.28,-2.19%
2025/12/17,0.319,0.31,0.333,0.275,6.69%
2025/12/16,0.299,0.289,0.318,0.27,2.05%
2025/12/15,0.293,0.335,0.335,0.279,-12.28%
2025/12/12,0.334,0.287,0.34,0.278,17.19%
2025/12/11,0.285,0.256,0.326,0.248,-2.06%
2025/12/10,0.291,0.267,0.345,0.267,8.18%
2025/12/9,0.269,0.256,0.285,0.246,10.70%
2025/12/8,0.243,0.195,0.272,0.185,27.23%
2025/12/5,0.191,0.176,0.199,0.163,17.18%
2025/12/4,0.163,0.161,0.215,0.15,7.24%
2025/12/3,0.152,0.168,0.191,0.151,-17.39%
2025/12/2,0.184,0.188,0.203,0.171,-1.08%
2025/12/1,0.186,0.175,0.194,0.169,2.20%
2025/11/28,0.182,0.199,0.225,0.167,5.20%
2025/11/27,0.173,0.224,0.224,0.166,2.98%
2025/11/26,0.168,0.175,0.211,0.162,1.20%
2025/11/25,0.166,0.168,0.213,0.159,-6.21%
2025/11/24,0.177,0.15,0.183,0.139,0.57%
2025/11/21,0.176,0.189,0.192,0.149,2.33%
2025/11/20,0.172,0.166,0.21,0.163,2.38%
2025/11/19,0.168,0.172,0.176,0.156,4.35%
2025/11/18,0.161,0.175,0.206,0.153,-9.04%
2025/11/17,0.177,0.186,0.19,0.164,2.91%
2025/11/14,0.172,0.189,0.22,0.17,0.58%
2025/11/13,0.171,0.162,0.194,0.155,8.92%
2025/11/12,0.157,0.172,0.24,0.157,-2.48%
2025/11/11,0.161,0.176,0.194,0.147,11.81%
2025/11/10,0.144,0.138,0.174,0.131,20.00%
2025/11/7,0.12,0.146,0.154,0.12,0.84%
2025/11/6,0.119,0.145,0.146,0.119,-17.36%
2025/11/5,0.144,0.118,0.148,0.108,22.03%
2025/11/4,0.118,0.125,0.148,0.112,-7.09%
2025/11/3,0.127,0.152,0.161,0.122,-32.09%
2025/10/31,0.187,0.174,0.193,0.124,25.50%
2025/10/30,0.149,0.176,0.176,0.139,6.43%
2025/10/29,0.14,0.14,0.142,0.139,-1.41%
2025/10/28,0.142,0.177,0.177,0.141,-0.70%
2025/10/27,0.143,0.181,0.187,0.143,-8.92%
2025/10/24,0.157,0.165,0.165,0.139,12.95%
2025/10/23,0.139,0.141,0.148,0.137,-1.42%
2025/10/22,0.141,0.14,0.141,0.133,0.00%
2025/10/21,0.141,0.163,0.163,0.131,-14.55%
2025/10/20,0.165,0.174,0.178,0.148,-14.06%
2025/10/17,0.192,0.19,0.192,0.127,4.92%
2025/10/16,0.183,0.156,0.183,0.149,-0.54%
2025/10/15,0.184,0.167,0.184,0.148,-15.98%
2025/10/14,0.219,0.155,0.219,0.142,3.79%
2025/10/13,0.211,0.256,0.256,0.165,-13.88%
2025/10/10,0.245,0.284,0.285,0.195,7.46%
2025/10/9,0.228,0.294,0.294,0.223,-21.38%
2025/10/8,0.29,0.29,0.29,0.216,1.75%
2025/10/7,0.285,0.271,0.285,0.269,0.00%
2025/10/6,0.285,0.303,0.314,0.257,1.79%
2025/10/3,0.28,0.261,0.284,0.259,6.06%
2025/10/2,0.264,0.258,0.264,0.253,-5.04%
2025/10/1,0.278,0.226,0.278,0.226,8.17%
2025/9/30,0.257,0.203,0.257,0.192,15.25%
2025/9/29,0.223,0.209,0.223,0.185,1.83%
2025/9/26,0.219,0.232,0.237,0.202,-4.37%
2025/9/25,0.229,0.245,0.286,0.222,-4.58%
2025/9/24,0.24,0.205,0.24,0.198,3.00%
2025/9/23,0.233,0.264,0.264,0.201,-2.92%
2025/9/22,0.24,0.274,0.275,0.198,-4.76%
2025/9/19,0.252,0.274,0.274,0.202,8.15%
2025/9/18,0.233,0.193,0.233,0.179,-7.91%
2025/9/17,0.253,0.222,0.253,0.183,-12.46%
2025/9/16,0.289,0.245,0.289,0.217,1.40%
2025/9/15,0.285,0.248,0.285,0.233,18.26%
2025/9/12,0.241,0.274,0.274,0.222,5.24%
2025/9/11,0.229,0.242,0.276,0.224,-9.49%
2025/9/10,0.253,0.27,0.289,0.23,-3.80%
2025/9/9,0.263,0.282,0.287,0.24,0.77%
2025/9/8,0.261,0.294,0.305,0.237,-7.77%
2025/9/5,0.283,0.283,0.302,0.251,-7.52%
2025/9/4,0.306,0.31,0.31,0.282,-5.56%
2025/9/3,0.324,0.355,0.358,0.315,-8.47%
2025/9/2,0.354,0.34,0.359,0.337,3.51%
2025/9/1,0.342,0.322,0.342,0.322,0.88%
2025/8/29,0.339,0.307,0.339,0.302,-0.59%
2025/8/28,0.341,0.308,0.341,0.297,14.05%
2025/8/27,0.299,0.321,0.326,0.297,-7.14%
2025/8/26,0.322,0.337,0.345,0.32,-9.30%
2025/8/25,0.355,0.353,0.364,0.343,4.41%
2025/8/22,0.34,0.35,0.371,0.338,-3.68%
2025/8/21,0.353,0.315,0.356,0.315,2.32%
2025/8/20,0.345,0.311,0.345,0.303,-2.82%
2025/8/19,0.355,0.331,0.355,0.314,2.31%
2025/8/18,0.347,0.332,0.347,0.306,4.52%
2025/8/15,0.332,0.296,0.338,0.296,9.93%
2025/8/14,0.302,0.275,0.302,0.257,18.43%
2025/8/13,0.255,0.287,0.29,0.24,-6.59%
2025/8/12,0.273,0.271,0.279,0.237,10.08%
2025/8/11,0.248,0.276,0.278,0.241,-6.77%
2025/8/8,0.266,0.288,0.288,0.238,0.38%
2025/8/7,0.265,0.3,0.326,0.238,-13.11%
2025/8/6,0.305,0.303,0.305,0.275,7.39%
2025/8/5,0.284,0.298,0.304,0.279,-5.96%
2025/8/4,0.302,0.374,0.374,0.299,-8.76%
