"日付","終値","始値","高値","安値","変化率 %"
"2026-08-14","4.042","3.968","4.045","3.958","2.45%"
"2026-08-13","3.945","3.979","3.985","3.923","-0.81%"
"2026-08-12","3.977","3.985","3.986","3.938","0.00%"
"2026-08-11","3.978","3.919","4.021","3.906","-0.18%"
"2026-08-10","3.985","3.919","3.986","3.906","1.82%"
"2026-08-07","3.914","3.932","3.945","3.902","-0.17%"
"2026-08-06","3.921","3.908","3.921","3.899","0.63%"
"2026-08-05","3.896","3.865","3.909","3.860","0.34%"
"2026-08-04","3.883","3.934","3.955","3.879","-1.25%"
"2026-08-03","3.932","3.940","3.944","3.912","-1.72%"
"2026-07-31","4.001","3.927","4.002","3.925","1.31%"
"2026-07-30","3.949","3.994","3.995","3.947","-0.16%"
"2026-07-29","3.955","3.909","3.956","3.897","1.71%"
"2026-07-28","3.889","3.899","3.922","3.882","-0.84%"
"2026-07-27","3.922","3.922","3.928","3.905","-1.25%"
"2026-07-24","3.971","4.006","4.009","3.967","-1.32%"
"2026-07-23","4.024","3.983","4.037","3.978","1.34%"
"2026-07-22","3.971","3.979","4.001","3.964","0.13%"
"2026-07-21","3.966","3.944","3.989","3.931","0.41%"
"2026-07-20","3.950","3.961","3.963","3.907","0.56%"
"2026-07-17","3.928","3.920","3.940","3.914","0.00%"
"2026-07-16","3.928","3.918","3.967","3.915","0.65%"
"2026-07-15","3.902","3.904","3.937","3.894","0.50%"
"2026-07-14","3.883","3.923","3.931","3.869","-0.06%"
"2026-07-13","3.885","3.861","3.886","3.841","1.48%"
"2026-07-10","3.829","3.835","3.853","3.826","-0.73%"
"2026-07-09","3.857","3.890","3.902","3.855","-1.57%"
"2026-07-08","3.918","3.843","3.923","3.842","3.44%"
"2026-07-07","3.788","3.765","3.789","3.748","1.44%"
"2026-07-06","3.734","3.719","3.736","3.705","0.21%"
"2026-07-03","3.726","3.711","3.734","3.711","0.59%"
"2026-07-02","3.705","3.705","3.739","3.699","0.65%"
"2026-07-01","3.681","3.691","3.717","3.676","0.78%"
"2026-06-30","3.652","3.628","3.661","3.609","0.28%"
"2026-06-29","3.642","3.644","3.653","3.630","0.32%"
"2026-06-26","3.630","3.625","3.651","3.611","0.03%"
"2026-06-25","3.629","3.628","3.639","3.614","0.00%"
"2026-06-24","3.629","3.676","3.676","3.617","-1.47%"
"2026-06-23","3.683","3.689","3.699","3.664","-0.69%"
"2026-06-22","3.709","3.717","3.732","3.698","-0.83%"
"2026-06-19","3.740","3.717","3.743","3.703","1.88%"
"2026-06-18","3.671","3.671","3.699","3.664","0.16%"
"2026-06-17","3.665","3.651","3.676","3.646","-0.21%"
"2026-06-16","3.673","3.699","3.701","3.653","-0.68%"
"2026-06-15","3.698","3.700","3.706","3.684","1.71%"
"2026-06-12","3.636","3.625","3.666","3.601","-1.47%"
"2026-06-11","3.691","3.743","3.743","3.672","-1.08%"
"2026-06-10","3.731","3.710","3.747","3.697","0.65%"
"2026-06-09","3.707","3.717","3.723","3.682","-0.39%"
"2026-06-08","3.721","3.728","3.739","3.687","0.71%"
"2026-06-05","3.695","3.670","3.697","3.655","0.69%"
"2026-06-04","3.669","3.664","3.688","3.645","-0.13%"
"2026-06-03","3.674","3.625","3.678","3.621","2.35%"
"2026-06-02","3.590","3.576","3.596","3.560","-1.02%"
"2026-06-01","3.627","3.582","3.650","3.579","2.07%"
"2026-05-29","3.553","3.573","3.586","3.529","-1.02%"
"2026-05-28","3.590","3.614","3.615","3.590","-2.27%"
"2026-05-27","3.673","3.644","3.677","3.625","0.15%"
"2026-05-26","3.668","3.650","3.675","3.637","1.01%"
"2026-05-25","3.631","3.673","3.676","3.613","-4.68%"
"2026-05-22","3.809","3.837","3.849","3.795","-1.96%"
"2026-05-21","3.885","3.876","3.909","3.848","0.60%"
"2026-05-20","3.862","3.950","3.961","3.838","-2.92%"
"2026-05-19","3.978","3.929","3.992","3.919","1.00%"
"2026-05-18","3.939","3.990","3.994","3.902","-0.68%"
"2026-05-15","3.966","3.889","3.967","3.865","3.93%"
"2026-05-14","3.816","3.860","3.866","3.814","2.27%"
"2026-05-13","3.731","3.731","3.755","3.720","0.00%"
"2026-05-12","3.731","3.714","3.744","3.709","1.83%"
"2026-05-11","3.664","3.660","3.670","3.635","1.06%"
"2026-05-08","3.626","3.634","3.651","3.608","0.23%"
"2026-05-07","3.617","3.614","3.629","3.577","-0.19%"
"2026-05-06","3.624","3.678","3.683","3.580","-2.38%"
"2026-05-05","3.713","3.748","3.754","3.710","-1.13%"
"2026-05-04","3.755","3.694","3.759","3.689","1.67%"
"2026-05-01","3.693","3.696","3.696","3.691","-0.11%"
"2026-04-30","3.697","3.800","3.800","3.678","-1.86%"
"2026-04-29","3.767","3.715","3.773","3.710","1.01%"
"2026-04-28","3.730","3.709","3.753","3.708","1.13%"
"2026-04-27","3.688","3.660","3.699","3.651","1.18%"
"2026-04-24","3.646","3.703","3.707","3.645","-0.57%"
"2026-04-23","3.667","3.694","3.705","3.648","0.25%"
"2026-04-22","3.657","3.639","3.660","3.626","0.00%"
"2026-04-21","3.657","3.598","3.661","3.584","1.24%"
"2026-04-20","3.612","3.632","3.642","3.596","1.00%"
"2026-04-17","3.576","3.696","3.700","3.557","-2.70%"
"2026-04-16","3.676","3.655","3.689","3.634","-0.15%"
"2026-04-15","3.681","3.638","3.694","3.625","0.66%"
"2026-04-14","3.657","3.701","3.722","3.657","-2.30%"
"2026-04-13","3.743","3.728","3.760","3.694","1.07%"
"2026-04-10","3.703","3.645","3.704","3.637","2.18%"
"2026-04-09","3.624","3.612","3.690","3.612","1.44%"
"2026-04-08","3.573","3.525","3.586","3.517","-5.56%"
"2026-04-07","3.783","3.721","3.806","3.677","2.80%"
"2026-04-06","3.680","3.682","3.683","3.680","-0.11%"
"2026-04-03","3.684","3.682","3.685","3.682","0.16%"
"2026-04-02","3.678","3.745","3.767","3.676","-0.05%"
"2026-04-01","3.680","3.632","3.703","3.608","-1.10%"
"2026-03-31","3.721","3.746","3.785","3.712","-1.05%"
"2026-03-30","3.760","3.822","3.838","3.753","-2.03%"
"2026-03-27","3.838","3.815","3.889","3.812","1.12%"
"2026-03-26","3.796","3.713","3.803","3.710","4.09%"
"2026-03-25","3.647","3.715","3.717","3.639","-2.40%"
"2026-03-24","3.736","3.718","3.788","3.688","0.64%"
"2026-03-23","3.713","3.808","3.873","3.617","-1.10%"
"2026-03-20","3.754","3.630","3.756","3.608","3.03%"
"2026-03-19","3.644","3.648","3.710","3.623","0.94%"
"2026-03-18","3.610","3.539","3.623","3.515","1.41%"
"2026-03-17","3.559","3.617","3.617","3.554","-1.55%"
"2026-03-16","3.616","3.667","3.673","3.578","-1.47%"
"2026-03-13","3.670","3.665","3.674","3.614","1.65%"
"2026-03-12","3.610","3.602","3.617","3.565","1.31%"
"2026-03-11","3.563","3.425","3.574","3.409","2.76%"
"2026-03-10","3.468","3.425","3.489","3.412","-1.11%"
"2026-03-09","3.507","3.600","3.636","3.506","-0.19%"
"2026-03-06","3.514","3.456","3.558","3.454","1.28%"
"2026-03-05","3.469","3.400","3.480","3.374","3.62%"
"2026-03-04","3.348","3.411","3.420","3.347","-1.05%"
"2026-03-03","3.383","3.343","3.434","3.341","2.58%"
"2026-03-02","3.298","3.232","3.306","3.232","2.48%"
"2026-02-27","3.218","3.241","3.260","3.217","-0.95%"
"2026-02-26","3.249","3.256","3.266","3.243","-0.27%"
"2026-02-25","3.258","3.271","3.276","3.258","-0.38%"
"2026-02-24","3.270","3.274","3.280","3.263","-0.27%"
"2026-02-23","3.280","3.294","3.308","3.277","-0.68%"
"2026-02-20","3.302","3.310","3.315","3.300","-0.45%"
"2026-02-19","3.317","3.329","3.335","3.316","0.06%"
"2026-02-18","3.315","3.322","3.331","3.310","-0.11%"
"2026-02-17","3.318","3.326","3.329","3.312","-0.83%"
"2026-02-16","3.346","3.337","3.352","3.325","0.04%"
"2026-02-13","3.345","3.352","3.366","3.336","-0.62%"
"2026-02-12","3.366","3.386","3.391","3.357","-0.45%"
"2026-02-11","3.381","3.399","3.413","3.380","-0.69%"
"2026-02-10","3.405","3.431","3.438","3.397","-1.15%"
"2026-02-09","3.444","3.446","3.464","3.439","-0.09%"
"2026-02-06","3.447","3.433","3.448","3.428","0.08%"
"2026-02-05","3.444","3.459","3.476","3.444","-0.15%"
"2026-02-04","3.450","3.461","3.463","3.442","-0.40%"
"2026-02-03","3.464","3.461","3.480","3.440","0.40%"
"2026-02-02","3.450","3.434","3.460","3.425","0.71%"
"2026-01-30","3.425","3.417","3.443","3.415","0.25%"
"2026-01-29","3.417","3.428","3.432","3.409","-0.28%"
"2026-01-28","3.426","3.415","3.431","3.411","-0.43%"
"2026-01-27","3.441","3.449","3.461","3.429","0.07%"
"2026-01-26","3.438","3.474","3.480","3.424","-1.52%"
"2026-01-23","3.491","3.508","3.517","3.469","-0.55%"
"2026-01-22","3.511","3.534","3.534","3.498","-0.91%"
"2026-01-21","3.543","3.503","3.550","3.493","0.48%"
"2026-01-20","3.526","3.528","3.567","3.518","0.81%"
"2026-01-19","3.498","3.501","3.523","3.484","-0.57%"
"2026-01-16","3.517","3.501","3.530","3.496","0.73%"
