日付,終値,始値,高値,安値,変化率 %
2026/8/14,1.681,1.691,1.691,1.678,-0.71%
2026/8/13,1.693,1.748,1.748,1.69,-0.59%
2026/8/12,1.703,1.701,1.735,1.698,-0.18%
2026/8/11,1.706,1.703,1.726,1.695,0.35%
2026/8/10,1.7,1.752,1.752,1.695,-0.18%
2026/8/7,1.703,1.707,1.707,1.7,-0.12%
2026/8/6,1.705,1.75,1.75,1.699,-0.12%
2026/8/5,1.707,1.707,1.73,1.699,0.23%
2026/8/4,1.703,1.735,1.735,1.701,-0.35%
2026/8/3,1.709,1.742,1.742,1.701,0.00%
2026/7/31,1.709,1.78,1.78,1.707,-3.99%
2026/7/30,1.78,1.769,1.78,1.71,1.83%
2026/7/29,1.748,1.773,1.773,1.722,1.27%
2026/7/28,1.726,1.803,1.803,1.72,-0.12%
2026/7/27,1.728,1.767,1.767,1.719,0.17%
2026/7/24,1.725,1.762,1.762,1.718,-1.60%
2026/7/23,1.753,1.775,1.775,1.717,1.27%
2026/7/22,1.731,1.775,1.775,1.726,-0.35%
2026/7/21,1.737,1.784,1.784,1.733,-0.29%
2026/7/20,1.742,1.78,1.78,1.734,0.58%
2026/7/17,1.732,1.774,1.774,1.731,-0.40%
2026/7/16,1.739,1.78,1.78,1.734,0.12%
2026/7/15,1.737,1.74,1.74,1.731,0.12%
2026/7/14,1.735,1.79,1.79,1.732,-0.40%
2026/7/13,1.742,1.765,1.765,1.731,0.58%
2026/7/10,1.732,1.78,1.78,1.729,-0.74%
2026/7/9,1.745,1.77,1.77,1.729,0.69%
2026/7/8,1.733,1.78,1.78,1.73,-0.06%
2026/7/7,1.734,1.779,1.779,1.73,0.00%
2026/7/6,1.734,1.79,1.79,1.73,-0.40%
2026/7/3,1.741,1.783,1.783,1.737,-1.86%
2026/7/2,1.774,1.786,1.786,1.731,1.78%
2026/7/1,1.743,1.743,1.758,1.735,0.29%
2026/6/30,1.738,1.725,1.76,1.713,0.64%
2026/6/29,1.727,1.773,1.774,1.715,-3.68%
2026/6/26,1.793,1.78,1.793,1.727,3.40%
2026/6/25,1.734,1.79,1.79,1.731,-2.09%
2026/6/24,1.771,1.79,1.79,1.737,-1.28%
2026/6/23,1.794,1.78,1.794,1.734,3.52%
2026/6/22,1.733,1.774,1.774,1.73,-1.08%
2026/6/18,1.752,1.763,1.763,1.725,-0.06%
2026/6/17,1.753,1.78,1.78,1.726,1.15%
2026/6/16,1.733,1.79,1.79,1.73,-0.74%
2026/6/15,1.746,1.793,1.793,1.74,0.11%
2026/6/12,1.744,1.793,1.793,1.74,-2.08%
2026/6/11,1.781,1.79,1.79,1.743,1.83%
2026/6/10,1.749,1.768,1.785,1.73,0.52%
2026/6/9,1.74,1.77,1.77,1.728,0.64%
2026/6/8,1.729,1.755,1.755,1.723,-1.71%
2026/6/5,1.759,1.72,1.76,1.71,2.45%
2026/6/4,1.717,1.72,1.752,1.71,-2.11%
2026/6/3,1.754,1.751,1.754,1.708,2.45%
2026/6/2,1.712,1.755,1.755,1.707,0.18%
2026/6/1,1.709,1.753,1.753,1.707,-1.21%
2026/5/29,1.73,1.769,1.769,1.714,0.23%
2026/5/28,1.726,1.774,1.774,1.716,-0.35%
2026/5/27,1.732,1.782,1.782,1.728,-0.80%
2026/5/26,1.746,1.786,1.786,1.744,-4.59%
2026/5/25,1.83,1.78,1.83,1.746,4.51%
2026/5/22,1.751,1.785,1.785,1.748,-2.99%
2026/5/21,1.805,1.789,1.805,1.739,3.56%
2026/5/20,1.743,1.75,1.75,1.739,-0.11%
2026/5/19,1.745,1.8,1.8,1.738,-5.06%
2026/5/18,1.838,1.795,1.838,1.748,4.14%
2026/5/15,1.765,1.789,1.8,1.745,0.74%
2026/5/14,1.752,1.782,1.782,1.743,-6.06%
2026/5/13,1.865,1.79,1.79,1.74,3.10%
2026/5/12,1.809,1.793,1.809,1.749,-0.82%
2026/5/11,1.824,1.798,1.824,1.755,3.11%
2026/5/9,1.769,1.804,1.805,1.752,0.11%
2026/5/8,1.767,1.804,1.805,1.752,0.40%
2026/5/7,1.76,1.805,1.806,1.756,-0.06%
2026/5/6,1.761,1.79,1.79,1.754,0.46%
2026/4/30,1.753,1.79,1.79,1.743,0.34%
2026/4/29,1.747,1.81,1.81,1.744,-0.91%
2026/4/28,1.763,1.77,1.795,1.755,-0.23%
2026/4/27,1.767,1.8,1.8,1.752,0.34%
2026/4/24,1.761,1.797,1.797,1.733,0.86%
2026/4/23,1.746,1.74,1.751,1.737,0.52%
2026/4/22,1.737,1.783,1.783,1.727,-0.86%
2026/4/21,1.752,1.805,1.805,1.749,-0.51%
2026/4/20,1.761,1.796,1.796,1.751,-0.23%
2026/4/17,1.765,1.83,1.83,1.76,-0.84%
2026/4/16,1.78,1.83,1.83,1.773,0.00%
2026/4/15,1.78,1.827,1.827,1.774,-0.28%
2026/4/14,1.785,1.838,1.838,1.775,-0.67%
2026/4/13,1.797,1.86,1.86,1.79,-0.99%
2026/4/10,1.815,1.86,1.86,1.809,-0.17%
2026/4/9,1.818,1.82,1.858,1.808,0.33%
2026/4/8,1.812,1.845,1.845,1.81,-0.22%
2026/4/7,1.816,1.848,1.848,1.812,-0.16%
2026/4/3,1.819,1.866,1.866,1.813,-0.16%
2026/4/2,1.822,1.87,1.87,1.815,-0.11%
